Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090038300_08062023000001;0040695600;;0090038300;383G4B;849218441R;SFDA--6651;1;1600;1200;930;189,984;45;GERB--1613_1600_1200;none;202307190000;202307200545;2;100
0090038300_08062023000002;0040695600;;0090038300;383G4B;769157103R;SFDA--9391;5;1200;1000;975;133,640;45;GERB--1213_1200_1000;none;202307120000;202307132200;1;100
0090038300_08062023000003;0040695600;;0090038300;383G4B;909005257R;SFDA--3078;7;1200;1000;750;114,960;45;GERB--1213_1200_1000;none;202307170000;202307181300;1;100
0090038300_08062023000004;0040695600;;0090038300;383G4B;668679086R;SLI---2112;1;1206;1010;2185;148,200;0;GERB--0528_1206_1010;none;202308240000;202308251100;6;100
0090038300_08062023000005;0040695600;;0090038300;383G4B;769160767R;SFDA--9395;1;1200;1000;975;134,784;45;GERB--1213_1200_1000;none;202307110000;202307120545;1;100
0090038300_08062023000006;0040695600;;0090038300;383G4B;165526394R;SLI---0770;1;1200;1000;975;129,800;45;GERB--1213_1200_1000;none;202307080000;202307101300;1;100
0090038300_08062023000007;0040695600;;0090038300;383G4B;767H35120R;SLI---0770;2;1200;1000;975;158,344;45;GERB--1213_1200_1000;none;202307080000;202307102200;1;100
0090038300_08062023000008;0040695600;;0090038300;383G4B;769157103R;SFDA--9391;5;1200;1000;975;133,640;45;GERB--1213_1200_1000;none;202306200000;202306210815;1;100
0090038300_08062023000009;0040695600;;0090038300;383G4B;668114109R;SFDA--6745;2;1600;1200;930;174,736;45;GERB--1613_1600_1200;none;202306150000;202306160130;2;100
0090038300_08062023000010;0040695600;;0090038300;383G4B;767480188R;SLI---0770;1;1200;1000;975;151,560;45;GERB--1213_1200_1000;none;202306140000;202306150815;2;100
0090038300_08062023000011;0040695600;;0090038300;383G4B;909005257R;SFDA--3078;5;1200;1000;750;114,960;45;GERB--1213_1200_1000;none;202307150000;202307172030;1;100
0090038300_08062023000012;0040695600;;0090038300;383G4B;668119050R;SFDA--6661;2;1600;1200;930;183,582;45;GERB--1613_1600_1200;none;202307140000;202307150545;2;100
0090038300_08062023000013;0040695600;;0090038300;383G4B;769371762R;SFDA--9389;1;1200;1000;975;131,580;45;GERB--1213_1200_1000;none;202306140000;202306151600;1;100
0090038300_08062023000014;0040695600;;0090038300;383G4B;808775109R;SFD---2112;1;1206;1010;1089;99,008;0;GERB--0528_1206_1010;none;202306160000;202306192200;3;100
0090038300_08062023000015;0040695600;;0090038300;383G4B;849501417R;SFDA--6917;1;1600;1200;930;191,720;45;GERB--1613_1600_1200;none;202307140000;202307150545;2;100
0090038300_08062023000016;0040695600;;0090038300;383G4B;769371762R;SFDA--9389;7;1200;1000;975;131,580;45;GERB--1213_1200_1000;none;202306160000;202306190545;1;100
0090038300_08062023000017;0040695600;;0090038300;383G4B;215595838R;SLI---1200;1;1600;1200;930;162,856;45;GERB--1613_1600_1200;none;202307070000;202307080815;1;100
0090038300_08062023000018;0040695600;;0090038300;383G4B;969107482R;SFDA--9437;2;1200;1000;975;129,200;45;GERB--1213_1200_1000;none;202307270000;202307281100;1;100
0090038300_08062023000019;0040695600;;0090038300;383G4B;769353508R;SFDA--9387;1;1200;1000;975;135,269;45;GERB--1213_1200_1000;none;202307280000;202307291300;1;100
0090038300_08062023000020;0040695600;;0090038300;383G4B;769513953R;SFDA--9371;1;1200;1000;975;137,768;45;GERB--1213_1200_1000;none;202307210000;202307220130;2;100
0090038300_08062023000021;0040695600;;0090038300;383G4P;767M92440R;SLI---2112;1;1206;1010;1085;116,840;0;GERB--0528_1206_1010;none;202306140000;202306151545;4;100
0090038300_08062023000022;0040695600;;0090038300;383G4B;769353508R;SFDA--9387;4;1200;1000;975;135,269;45;GERB--1213_1200_1000;none;202307050000;202307060815;1;100
0090038300_08062023000023;0040695600;;0090038300;383G4B;769141277R;SFDA--9373;1;1200;1000;975;144,720;45;GERB--1213_1200_1000;none;202307220000;202307241630;2;100
0090038300_08062023000024;0040695600;;0090038300;383G4B;638422058R;SLI---0770;1;1200;1000;975;153,400;45;GERB--1213_1200_1000;none;202307110000;202307121100;2;100
0090038300_08062023000025;0040695600;;0090038300;383G4B;769520594R;SFDA--9371;1;1200;1000;975;137,480;45;GERB--1213_1200_1000;none;202307260000;202307270815;2;100
0090038300_08062023000026;0040695600;;0090038300;383G4B;769115629R;SFD---2112;1;1206;1010;1181;134,280;0;GERB--0528_1206_1010;none;202306160000;202306191300;3;100
0090038300_08062023000027;0040695600;;0090038300;383G4B;767495315R;SLI---0770;2;1200;1000;975;151,440;45;GERB--1213_1200_1000;none;202308250000;202308261100;2;100
0090038300_08062023000028;0040695600;;0090038300;383G4B;767H35120R;SLI---0770;1;1200;1000;975;158,344;45;GERB--1213_1200_1000;none;202307080000;202307101300;1;100
0090038300_08062023000029;0040695600;;0090038300;383G4B;769167670R;SFDA--9372;1;1200;1000;975;138,328;45;GERB--1213_1200_1000;none;202307210000;202307221300;1;100
0090038300_08062023000030;0040695600;;0090038300;383G4B;769151139R;SFDA--9395;2;1200;1000;975;134,784;45;GERB--1213_1200_1000;none;202306140000;202306151300;1;100
0090038300_08062023000031;0040695600;;0090038300;383G4P;985P74970R;SLI---2112;1;1206;1010;1085;141,800;0;GERB--0528_1206_1010;none;202307150000;202307170300;4;100
0090038300_08062023000032;0040695600;;0090038300;383G4B;769520594R;SFDA--9371;1;1200;1000;975;137,480;45;GERB--1213_1200_1000;none;202306200000;202306210330;2;100
