Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017500_08062023000001;0002318600;;0091017500;175GR2;360303960R;CAR-S*4326;3;1130;970;680;246,980;0;GERB--7137_1130_970;none;202307060000;202307111300;102;100
0091017500_08062023000002;0090016500;1GRA;0091017500;175GR1;8200444619;CON-S-0130;1;780;570;478;146,376;47;GERB--3195_780_570;widthwise;202307030000;202307060800;13;4
0091017500_08062023000003;0090018400;PCHB2;0091017500;175GR2;384256610R;SLI---2112;1;1206;1010;351;510,600;0;GERB--0528_1206_1010;none;202307260000;202308241900;240;100
0091017500_08062023000004;0090018400;PCHB2;0091017500;175GR2;314L30707R;ECA---0370;9;800;600;634;87,800;0;GERB--3543_800_600;none;202307050000;202307101900;32;2
0091017500_08062023000005;0090016500;1GRA;0091017500;175GR2;384105194R;MFM---0873;1;1200;1000;975;699,120;45;GERB--1213_1200_1000;none;202307190000;202307240800;54;100
0091017500_08062023000006;0090016100;F12;0091017500;175GR4;321018309R;SLI---1200;20;1600;1200;930;312,352;45;GERB--1613_1600_1200;lengthwise;202307120000;202307170730;12;100
0091017500_08062023000007;0090016500;1GRA;0091017500;175GR1;8200444619;CON-S-0130;1;780;570;478;146,376;47;GERB--3195_780_570;widthwise;202307030000;202307040800;13;4
0091017500_08062023000008;0002706302;;0091017500;175GR1;322411311R;CON-S-0130;19;780;570;478;428,000;47;GERB--3195_780_570;widthwise;202307190000;202307190900;9;4
0091017500_08062023000009;0027830500;;0091017500;175GR1;322312839R;CON-S-0130;6;780;570;478;360,400;47;GERB--3195_780_570;widthwise;202307060000;202307130800;8;4
0091017500_08062023000010;0090016100;F12;0091017500;175GR2;322019752R;PAL-S-0573;6;800;605;648;304,940;0;GERB--8855_800_605;none;202307030000;202307060730;58;100
0091017500_08062023000011;0009500407;;0091017500;175GR1;384217791R;ETM---4434;21;1275;1014;840;1106,500;140;GERB--0051_1275_1014;widthwise;202308280000;202308281400;14;3
0091017500_08062023000012;0002590706;;0091017500;175GR2;216444003R;SLI---2112;2;1206;1010;1185;384,900;0;GERB--0528_1206_1010;none;202307030000;202307110900;23;100
0091017500_08062023000013;0027095301;;0091017500;175GR2;319459271R;SLI---2112;1;1206;1010;285;108,700;0;GERB--0528_1206_1010;none;202307110000;202307141200;132;100
