Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017700_28022023000001;0028040400;;0091017700;177GRF;140036202R;SFDA--9299;6;1200;1000;975;201,730;45;GERB--1213_1200_1000;none;202303140000;202303170300;15;100
0091017700_28022023000002;0026367200;;0091017700;177GRF;111116195R;SLI---0770;9;1200;1000;975;225,560;45;GERB--1213_1200_1000;none;202303170000;202303221600;6;100
0091017700_28022023000003;0002496900;;0091017700;177GRF;144865409R;SLI---2112;4;1206;1010;1085;238,040;0;GERB--0528_1206_1010;none;202304060000;202304111800;16;100
0091017700_28022023000004;0041223901;;0091017700;177GRF;208172711R;CAR-S*2990;1;1140;980;660;582,100;0;GERB--7391_1140_980;none;202303240000;202303281230;25;100
0091017700_28022023000005;0025348700;;0091017700;177GRF;208A06189R;SFDA--9280;23;1200;1000;975;326,000;45;GERB--1213_1200_1000;none;202303090000;202303142230;118;100
0091017700_28022023000006;0090016500;1GRA;0091017700;177GRF;111100160R;SFDA--9022;2;1200;1000;975;283,880;45;GERB--1213_1200_1000;none;202304110000;202304141900;13;100
0091017700_28022023000007;0002496900;;0091017700;177GRF;117106794R;SLI---0770;1;1200;1000;975;348,840;45;GERB--1213_1200_1000;none;202304030000;202304060930;20;100
0091017700_28022023000008;0041799900;;0091017700;177GRI;147107518R;SLI---2112;1;1206;1010;585;131,840;0;GERB--0528_1206_1010;none;202304100000;202304130700;86;100
0091017700_28022023000009;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;5;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202303270000;202303301200;38;100
0091017700_28022023000010;0026672300;;0091017700;177GR5;120104242R;SLI---2112;1;1206;1010;879;351,480;0;GERB--0528_1206_1010;none;202303270000;202303300700;54;2
0091017700_28022023000011;0029333000;;0091017700;177GRF;130253061R;SLI---2112;3;1206;1010;681;548,700;0;GERB--0528_1206_1010;none;202303240000;202303290700;98;2
0091017700_28022023000012;0023207007;;0091017700;177GRF;144109429R;SFDA--9881;7;1200;1000;975;443,760;45;GERB--1213_1200_1000;none;202303270000;202303301800;99;100
0091017700_28022023000013;0041799900;;0091017700;177GRF;147101423R;SLI---2112;2;1206;1010;1185;338,500;0;GERB--0528_1206_1010;none;202304170000;202304200700;76;100
0091017700_28022023000014;0001132215;;0091017700;177GRI;111210757R;SLI---2112;1;1206;1010;1185;198,900;0;GERB--0528_1206_1010;none;202303070000;202303101730;30;100
0091017700_28022023000015;0090016500;1GRA;0091017700;177GRF;111103561R;SFDA--9022;7;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202303140000;202303170730;12;100
0091017700_28022023000016;0042143100;;0091017700;177GRI;144607633R;SLI---2112;1;1206;1010;1085;168,200;0;GERB--0528_1206_1010;none;202304130000;202304181730;25;100
0091017700_28022023000017;0090016500;1GRA;0091017700;177GR5;111109528R;SFDA--9022;3;1200;1000;975;256,640;45;GERB--1213_1200_1000;none;202303160000;202303210730;9;100
0091017700_28022023000018;0011738202;;0091017700;177GRF;147359823R;SFDA--9630;8;1200;1000;975;315,720;45;GERB--1213_1200_1000;none;202303220000;202303271600;45;100
0091017700_28022023000019;0029333003;;0091017700;177GRF;144105967R;SFDA--9639;8;1200;1000;975;430,800;45;GERB--1213_1200_1000;none;202303210000;202303240700;104;2
0091017700_28022023000020;0026221301;;0091017700;177GRF;144109984R;SFDA--9282;5;1200;1000;975;489,800;45;GERB--1213_1200_1000;none;202304190000;202304240600;76;100
0091017700_28022023000021;0024007700;;0091017700;177GRF;161208350R;SLI---2112;2;1206;1010;1185;276,300;0;GERB--0528_1206_1010;none;202304110000;202304140700;54;2
0091017700_28022023000022;0002594900;;0091017700;177GRE;130627816R;MFM---0037;24;800;600;650;145,770;10;GERB--0104_800_600;none;202304170000;202304200930;7;2
0091017700_28022023000023;0002782804;;0091017700;177GRF;118301738R;SLI---2112;3;1206;1010;1085;135,800;0;GERB--0528_1206_1010;none;202303070000;202303100500;24;100
0091017700_28022023000024;0029382801;;0091017700;177GRI;210107490R;SLI---2112;3;1206;1010;1185;392,400;0;GERB--0528_1206_1010;none;202303160000;202303210700;50;100
0091017700_28022023000025;0008443308;;0091017700;177GRI;224019185R;SLI---0770;1;1200;1000;975;494,650;45;GERB--1213_1200_1000;none;202303200000;202303231700;188;100
0091017700_28022023000026;0026221301;;0091017700;177GRF;144116419R;SFDA--4053;4;1200;1000;930;421,440;45;GERB--1213_1200_1000;none;202303160000;202303210600;65;100
0091017700_28022023000027;0025348700;;0091017700;177GRF;208A02872R;SFDA--9280;7;1200;1000;975;309,800;45;GERB--1213_1200_1000;none;202303060000;202303092230;80;100
0091017700_28022023000028;0090016500;1GRA;0091017700;177GRF;150107908R;SLI---2112;1;1206;1010;985;283,960;0;GERB--0528_1206_1010;none;202303140000;202303171900;37;100
0091017700_28022023000029;0029333000;;0091017700;177GRF;130255174R;SLI---2112;2;1206;1010;681;598,850;0;GERB--0528_1206_1010;none;202303200000;202303230700;108;2
0091017700_28022023000030;0025348700;;0091017700;177GRF;208A07758R;SLI---0770;7;1200;1000;975;245,400;45;GERB--1213_1200_1000;none;202304140000;202304191100;81;100
0091017700_28022023000031;0026551501;;0091017700;177GRI;140559326R;SLI---2112;1;1206;1010;585;99,200;0;GERB--0528_1206_1010;none;202303200000;202303230700;44;100
0091017700_28022023000032;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;10;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202304060000;202304111900;38;100
0091017700_28022023000033;0029382801;;0091017700;177GRF;210104880R;SLI---2112;2;1206;1010;1185;359,400;0;GERB--0528_1206_1010;none;202304170000;202304200700;51;100
0091017700_28022023000034;0040771302;;0091017700;177GRI;8200460578;SLI---2112;1;1206;1010;285;135,900;0;GERB--0528_1206_1010;none;202303280000;202304041500;41;100
0091017700_28022023000035;0025348700;;0091017700;177GRF;208A05956R;SFDA--9869;14;1200;1000;975;260,480;45;GERB--1213_1200_1000;none;202304190000;202304241100;86;100
0091017700_28022023000036;0011523703;;0091017700;177GRI;151984592R;SLI---2112;1;1206;1010;385;82,225;0;GERB--0528_1206_1010;none;202303280000;202303311100;68;100
0091017700_28022023000037;0040832000;;0091017700;177GRF;208A00362R;SLI---0770;3;1200;1000;975;203,176;45;GERB--1213_1200_1000;none;202303140000;202303171100;103;100
