dataset: X
instance: MT5
+-----------+
2D Packing Heuristic in Truck P186574903
Min2DVol: 32.41805999999999 [m2]
Stack 0 with items: ['0091017700_14062023005209', '0091017700_14062023005209', '0091017700_14062023005209']
Stack 1 with items: ['0091017700_14062023005209', '0091017700_14062023003552', '0091017700_14062023005209']
Stack 2 with items: ['0091017700_14062023003552', '0091017700_14062023003146', '0091017700_14062023003146']
Stack 3 with items: ['0091017700_14062023003208', '0091017700_14062023003208', '0091017700_14062023003208']
Stack 4 with items: ['0091017700_14062023003208', '0091017700_14062023003208', '0091017700_14062023003208']
Stack 5 with items: ['0091017700_14062023003208', '0091017700_14062023003208', '0091017700_14062023003208']
Stack 6 with items: ['0091017700_14062023003208', '0091017700_14062023003208', '0091017700_14062023003208']
Stack 7 with items: ['0091017700_14062023003208', '0091017700_14062023001602', '0091017700_14062023000322']
Stack 8 with items: ['0091017700_14062023003146', '0091017700_14062023003146', '0091017700_14062023003146']
Stack 9 with items: ['0091017700_14062023003146', '0091017700_14062023003146', '0091017700_14062023003146']
Stack 10 with items: ['0091017700_14062023003146', '0091017700_14062023001190', '0091017700_14062023003146']
Stack 11 with items: ['0091017700_14062023001190', '0091017700_14062023001190', '0091017700_14062023001190']
Stack 12 with items: ['0091017700_14062023001190', '0091017700_14062023001190', '0091017700_14062023001190']
Stack 13 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 14 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 15 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 16 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 17 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 18 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 19 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 20 with items: ['0091017700_14062023000322', '0091017700_14062023000322', '0091017700_14062023000322']
Stack 21 with items: ['0091017700_14062023000004', '0091017700_14062023000004', '0091017700_14062023000004']
Stack 22 with items: ['0091017700_14062023000004', '0091017700_14062023000004', '0091017700_14062023000004']
Stack 23 with items: ['0091017700_14062023000004', '0091017700_14062023000004', '0091017700_14062023000004']
Stack 24 with items: ['0091017700_14062023000004', '0091017700_14062023000004', '0091017700_14062023000004']
Stack 25 with items: ['0091017700_14062023000004', '0091017700_14062023000004']
Stack 26 with items: ['0091017700_14062023002863', '0091017700_14062023002863', '0091017700_14062023002863']
Stacks not packed:
Stack 1 missing: ['0091017700_14062023005209', '0091017700_14062023003552', '0091017700_14062023005209']
