dataset: X
instance: MA7
+-----------+
2D Packing Heuristic in Truck P234031503
Min2DVol: 33.24873150000002 [m2]
Stack 0 with items: ['0090016200_14062023033002', '0090016200_14062023033002']
Stack 1 with items: ['0090016200_14062023033002', '0090016200_14062023033002']
Stack 2 with items: ['0090016200_14062023030010', '0090016200_14062023023866']
Stack 3 with items: ['0090016200_14062023023174', '0090016200_14062023016017']
Stack 4 with items: ['0090016200_14062023011637', '0090016200_14062023011637']
Stack 5 with items: ['0090016200_14062023011637', '0090016200_14062023011637']
Stack 6 with items: ['0090016200_14062023011637', '0090016200_14062023011637']
Stack 7 with items: ['0090016200_14062023010565', '0090016200_14062023010565']
Stack 8 with items: ['0090016200_14062023035471', '0090016200_14062023033994', '0090016200_14062023033439']
Stack 9 with items: ['0090016200_14062023033065', '0090016200_14062023033065', '0090016200_14062023033065']
Stack 10 with items: ['0090016200_14062023032031', '0090016200_14062023030227', '0090016200_14062023030227']
Stack 11 with items: ['0090016200_14062023030227', '0090016200_14062023030227', '0090016200_14062023030227']
Stack 12 with items: ['0090016200_14062023030227', '0090016200_14062023029874', '0090016200_14062023030227']
Stack 13 with items: ['0090016200_14062023029756', '0090016200_14062023029264', '0090016200_14062023027876']
Stack 14 with items: ['0090016200_14062023026656', '0090016200_14062023026656', '0090016200_14062023026656']
Stack 15 with items: ['0090016200_14062023026254', '0090016200_14062023024265', '0090016200_14062023022542']
Stack 16 with items: ['0090016200_14062023022542', '0090016200_14062023021977', '0090016200_14062023022542']
Stack 17 with items: ['0090016200_14062023020788', '0090016200_14062023019543', '0090016200_14062023020788']
Stack 18 with items: ['0090016200_14062023018266', '0090016200_14062023016674', '0090016200_14062023016674']
Stack 19 with items: ['0090016200_14062023012824', '0090016200_14062023010535', '0090016200_14062023010535']
Stack 20 with items: ['0090016200_14062023010535', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 21 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 22 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 23 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 24 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 25 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 26 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 27 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 28 with items: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 29 with items: ['0090016200_14062023006278', '0090016200_14062023002465', '0090016200_14062023002465']
Stack 30 with items: ['0090016200_14062023002465', '0090016200_14062023002465', '0090016200_14062023002465']
Stack 31 with items: ['0090016200_14062023002465', '0090016200_14062023002465', '0090016200_14062023002465']
Stack 32 with items: ['0090016200_14062023002016', '0090016200_14062023001934', '0090016200_14062023002016']
Stack 33 with items: ['0090016200_14062023034605', '0090016200_14062023009809', '0090016200_14062023022650', '0090016200_14062023000724']
Stack 34 with items: ['0090016200_14062023025190', '0090016200_14062023025190', '0090016200_14062023025190']
Stacks not packed:
Stack 9 missing: ['0090016200_14062023033065', '0090016200_14062023033065', '0090016200_14062023033065']
Stack 13 missing: ['0090016200_14062023029756', '0090016200_14062023029264', '0090016200_14062023027876']
Stack 14 missing: ['0090016200_14062023026656', '0090016200_14062023026656', '0090016200_14062023026656']
Stack 15 missing: ['0090016200_14062023026254', '0090016200_14062023024265', '0090016200_14062023022542']
Stack 16 missing: ['0090016200_14062023022542', '0090016200_14062023021977', '0090016200_14062023022542']
Stack 18 missing: ['0090016200_14062023018266', '0090016200_14062023016674', '0090016200_14062023016674']
Stack 20 missing: ['0090016200_14062023010535', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 21 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 22 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 23 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 24 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 25 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 26 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 27 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 28 missing: ['0090016200_14062023010036', '0090016200_14062023010036', '0090016200_14062023010036']
Stack 29 missing: ['0090016200_14062023006278', '0090016200_14062023002465', '0090016200_14062023002465']
Stack 31 missing: ['0090016200_14062023002465', '0090016200_14062023002465', '0090016200_14062023002465']
Stack 33 missing: ['0090016200_14062023034605', '0090016200_14062023009809', '0090016200_14062023022650', '0090016200_14062023000724']
Stack 34 missing: ['0090016200_14062023025190', '0090016200_14062023025190', '0090016200_14062023025190']
