dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P175060951
Min2DVol: 30.239999999999995 [m2]
Stack 0 with items: ['0090016900_08062023000357', '0090016900_08062023000357']
Stack 1 with items: ['0090016900_08062023000357', '0090016900_08062023000357']
Stack 2 with items: ['0090016900_08062023030202', '0090016900_08062023030202']
Stack 3 with items: ['0090016900_08062023030202', '0090016900_08062023030202']
Stack 4 with items: ['0090016900_08062023030202', '0090016900_08062023030202']
Stack 5 with items: ['0090016900_08062023023375', '0090016900_08062023023375']
Stack 6 with items: ['0090016900_08062023023375', '0090016900_08062023023375']
Stack 7 with items: ['0090016900_08062023005506', '0090016900_08062023005506']
Stack 8 with items: ['0090016900_08062023005506', '0090016900_08062023005506']
Stack 9 with items: ['0090016900_08062023005506', '0090016900_08062023005506']
Stack 10 with items: ['0090016900_08062023038374', '0090016900_08062023028635']
Heuristic packed all stacks
