dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P081632801
Min2DVol: 31.8864 [m2]
Stack 0 with items: ['0091017300_27022023036324', '0091017300_27022023036324', '0091017300_27022023036324', '0091017300_27022023036324', '0091017300_27022023036324']
Stack 1 with items: ['0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845']
Stack 2 with items: ['0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845']
Stack 3 with items: ['0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845']
Stack 4 with items: ['0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845']
Stack 5 with items: ['0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845', '0091017300_27022023026845']
Stack 6 with items: ['0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613']
Stack 7 with items: ['0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613', '0091017300_27022023014613']
Stack 8 with items: ['0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702']
Stack 9 with items: ['0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702']
Stack 10 with items: ['0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702']
Stack 11 with items: ['0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702', '0091017300_27022023002702']
Stack 12 with items: ['0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841']
Stack 13 with items: ['0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841', '0091017300_27022023000841']
Heuristic packed all stacks
