dataset: C
instance: TA2
+-----------+
2D Packing Heuristic in Truck P095385317
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090038300_28022023025290', '0090038300_28022023025290', '0090038300_28022023025290']
Stack 1 with items: ['0090038300_28022023025290', '0090038300_28022023025290', '0090038300_28022023025290']
Stack 2 with items: ['0090038300_28022023025290', '0090038300_28022023025290', '0090038300_28022023025290']
Stack 3 with items: ['0090038300_28022023025290', '0090038300_28022023025290', '0090038300_28022023025290']
Stack 4 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 5 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 6 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 7 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 8 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 9 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 10 with items: ['0090038300_28022023014832', '0090038300_28022023014832', '0090038300_28022023014832']
Stack 11 with items: ['0090038300_28022023014832', '0090038300_28022023012520', '0090038300_28022023014832']
Stack 12 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 13 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 14 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 15 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 16 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 17 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 18 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 19 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 20 with items: ['0090038300_28022023012520', '0090038300_28022023012520', '0090038300_28022023012520']
Stack 21 with items: ['0090038300_28022023012520', '0090038300_28022023009242', '0090038300_28022023012520']
Stack 22 with items: ['0090038300_28022023009242', '0090038300_28022023009242', '0090038300_28022023009242']
Stack 23 with items: ['0090038300_28022023009242', '0090038300_28022023009242', '0090038300_28022023009242']
Stack 24 with items: ['0090038300_28022023009242', '0090038300_28022023009242', '0090038300_28022023009242']
Stack 25 with items: ['0090038300_28022023009242', '0090038300_28022023009242', '0090038300_28022023009242']
Heuristic packed all stacks
