dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P334157205
Min2DVol: 31.652700000000035 [m2]
Stack 0 with items: ['0090017100_26102022009517', '0090017100_26102022009517', '0090017100_26102022015921']
Stack 1 with items: ['0090017100_26102022010257', '0090017100_26102022010257']
Stack 2 with items: ['0090017100_26102022016131', '0090017100_26102022001443']
Stack 3 with items: ['0090017100_26102022015921', '0090017100_26102022008260']
Stack 4 with items: ['0090017100_26102022001443', '0090017100_26102022001443']
Stack 5 with items: ['0090017100_26102022016327', '0090017100_26102022005579', '0090017100_26102022004024']
Stack 6 with items: ['0090017100_26102022016266', '0090017100_26102022016266', '0090017100_26102022016266']
Stack 7 with items: ['0090017100_26102022005161', '0090017100_26102022005161', '0090017100_26102022016266']
Stack 8 with items: ['0090017100_26102022013205', '0090017100_26102022004024', '0090017100_26102022001994']
Stack 9 with items: ['0090017100_26102022005876', '0090017100_26102022005161', '0090017100_26102022005161']
Stack 10 with items: ['0090017100_26102022015157', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 11 with items: ['0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 12 with items: ['0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 13 with items: ['0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 14 with items: ['0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 15 with items: ['0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 16 with items: ['0090017100_26102022014208', '0090017100_26102022013955', '0090017100_26102022014208', '0090017100_26102022014208']
Stack 17 with items: ['0090017100_26102022012103', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 18 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 19 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 20 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 21 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 22 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 23 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 24 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 25 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 26 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 27 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
Stack 28 with items: ['0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741', '0090017100_26102022009741']
