dataset: A
instance: MA
+-----------+
2D Packing Heuristic in Truck P192356103
Min2DVol: 17.202540000000003 [m2]
Stack 0 with items: ['0090016200_03072022011112', '0090016200_03072022010885', '0090016200_03072022011660']
Stack 1 with items: ['0090016200_03072022007531', '0090016200_03072022007024', '0090016200_03072022007531']
Stack 2 with items: ['0090016200_03072022007531', '0090016200_03072022005195', '0090016200_03072022001935']
Stack 3 with items: ['0090016200_03072022001935', '0090016200_03072022001935', '0090016200_03072022014491']
Stack 4 with items: ['0090016200_03072022001030', '0090016200_03072022001030', '0090016200_03072022013845']
Stack 5 with items: ['0090016200_03072022001030', '0090016200_03072022001030', '0090016200_03072022013652']
Stack 6 with items: ['0090016200_03072022001030', '0090016200_03072022001030', '0090016200_03072022012585']
Stack 7 with items: ['0090016200_03072022001030', '0090016200_03072022010233', '0090016200_03072022012092']
Stack 8 with items: ['0090016200_03072022004709', '0090016200_03072022002459', '0090016200_03072022001165', '0090016200_03072022004879', '0090016200_03072022006520']
Stack 9 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Stack 10 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195']
Stack 11 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022015124', '0090016200_03072022015124', '0090016200_03072022015124']
Stack 12 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022015124', '0090016200_03072022015124']
Stack 13 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Stack 14 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195']
Stack 15 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Stack 16 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022015124', '0090016200_03072022015124']
Stack 17 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195']
Stack 18 with items: ['0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195', '0090016200_03072022013195']
Stack 19 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Stack 20 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Stack 21 with items: ['0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163', '0090016200_03072022013163']
Heuristic packed all stacks
