dataset: A
instance: VA2
+-----------+
2D Packing Heuristic in Truck P260501151
Min2DVol: 21.6 [m2]
Stack 0 with items: ['0091017300_03072022010725', '0091017300_03072022008314', '0091017300_03072022010725', '0091017300_03072022010725', '0091017300_03072022010725']
Stack 1 with items: ['0091017300_03072022008314', '0091017300_03072022006835', '0091017300_03072022008159', '0091017300_03072022006835', '0091017300_03072022008314']
Stack 2 with items: ['0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835']
Stack 3 with items: ['0091017300_03072022006835', '0091017300_03072022005749', '0091017300_03072022005749', '0091017300_03072022006835', '0091017300_03072022006835']
Stack 4 with items: ['0091017300_03072022005749', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 5 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 6 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 7 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 8 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 9 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 10 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 11 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 12 with items: ['0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
Stack 13 with items: ['0091017300_03072022000973', '0091017300_03072022000309', '0091017300_03072022000309', '0091017300_03072022000309', '0091017300_03072022000309']
Stack 14 with items: ['0091017300_03072022000309', '0091017300_03072022000049', '0091017300_03072022000049', '0091017300_03072022000309']
Stacks not packed:
Stack 1 missing: ['0091017300_03072022008314', '0091017300_03072022006835', '0091017300_03072022008159', '0091017300_03072022006835', '0091017300_03072022008314']
Stack 2 missing: ['0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835', '0091017300_03072022006835']
Stack 3 missing: ['0091017300_03072022006835', '0091017300_03072022005749', '0091017300_03072022005749', '0091017300_03072022006835', '0091017300_03072022006835']
Stack 4 missing: ['0091017300_03072022005749', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661', '0091017300_03072022003661']
