dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P074501107
Min2DVol: 31.679999999999993 [m2]
Stack 0 with items: ['0091017300_27022023027701', '0091017300_27022023022796', '0091017300_27022023022796', '0091017300_27022023022796', '0091017300_27022023027701']
Stack 1 with items: ['0091017300_27022023022796', '0091017300_27022023022796', '0091017300_27022023022796', '0091017300_27022023022796', '0091017300_27022023022796']
Stack 2 with items: ['0091017300_27022023022796', '0091017300_27022023016459', '0091017300_27022023016459', '0091017300_27022023016459', '0091017300_27022023022796']
Stack 3 with items: ['0091017300_27022023016459', '0091017300_27022023016459', '0091017300_27022023016459', '0091017300_27022023016459', '0091017300_27022023016459']
Stack 4 with items: ['0091017300_27022023015810', '0091017300_27022023010063', '0091017300_27022023015810', '0091017300_27022023015810', '0091017300_27022023015810']
Stack 5 with items: ['0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886']
Stack 6 with items: ['0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886']
Stack 7 with items: ['0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886']
Stack 8 with items: ['0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886']
Stack 9 with items: ['0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886', '0091017300_27022023005886']
Stack 10 with items: ['0091017300_27022023005886', '0091017300_27022023004668', '0091017300_27022023003600', '0091017300_27022023005886', '0091017300_27022023005886']
Heuristic packed all stacks
