dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P199331301
Min2DVol: 29.82000000000001 [m2]
Stack 0 with items: ['0090017100_08062023016232', '0090017100_08062023016232']
Stack 1 with items: ['0090017100_08062023016232', '0090017100_08062023016232']
Stack 2 with items: ['0090017100_08062023016232', '0090017100_08062023016232']
Stack 3 with items: ['0090017100_08062023000060', '0090017100_08062023016232']
Stack 4 with items: ['0090017100_08062023006424', '0090017100_08062023006424']
Stack 5 with items: ['0090017100_08062023006424', '0090017100_08062023006424']
Stack 6 with items: ['0090017100_08062023006424', '0090017100_08062023006424']
Stack 7 with items: ['0090017100_08062023025437', '0090017100_08062023025437']
Stack 8 with items: ['0090017100_08062023025437', '0090017100_08062023025437']
Stack 9 with items: ['0090017100_08062023025437', '0090017100_08062023025437']
Stack 10 with items: ['0090017100_08062023010353', '0090017100_08062023010353']
Stack 11 with items: ['0090017100_08062023007885', '0090017100_08062023007885']
Stack 12 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 13 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 14 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 15 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 16 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 17 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Stack 18 with items: ['0090017100_08062023007680', '0090017100_08062023007680']
Heuristic packed all stacks
