dataset: C
instance: DO2
+-----------+
2D Packing Heuristic in Truck P089140907
Min2DVol: 34.87223999999999 [m2]
Stack 0 with items: ['0090019100_28022023020631', '0090019100_28022023020631']
Stack 1 with items: ['0090019100_28022023011337', '0090019100_28022023000057']
Stack 2 with items: ['0090019100_28022023007757', '0090019100_28022023000057', '0090019100_28022023011663', '0090019100_28022023014129']
Stack 3 with items: ['0090019100_28022023006405', '0090019100_28022023006405']
Stack 4 with items: ['0090019100_28022023023062', '0090019100_28022023023062']
Stack 5 with items: ['0090019100_28022023000394', '0090019100_28022023000394']
Stack 6 with items: ['0090019100_28022023023062', '0090019100_28022023023062']
Stack 7 with items: ['0090019100_28022023000394', '0090019100_28022023000394']
Stack 8 with items: ['0090019100_28022023000394', '0090019100_28022023000394']
Stack 9 with items: ['0090019100_28022023023062', '0090019100_28022023023062']
Stack 10 with items: ['0090019100_28022023023062', '0090019100_28022023023062']
Stack 11 with items: ['0090019100_28022023000394', '0090019100_28022023000394']
Stack 12 with items: ['0090019100_28022023000394', '0090019100_28022023000394']
Stack 13 with items: ['0090019100_28022023023062', '0090019100_28022023023062']
Stack 14 with items: ['0090019100_28022023022775', '0090019100_28022023022775', '0090019100_28022023022775']
Stack 15 with items: ['0090019100_28022023022775', '0090019100_28022023020200', '0090019100_28022023020200']
Stack 16 with items: ['0090019100_28022023020200', '0090019100_28022023019915', '0090019100_28022023019915']
Stack 17 with items: ['0090019100_28022023018292', '0090019100_28022023017207', '0090019100_28022023018292']
Stack 18 with items: ['0090019100_28022023017207', '0090019100_28022023016010', '0090019100_28022023017207']
Stack 19 with items: ['0090019100_28022023010674', '0090019100_28022023010142', '0090019100_28022023010674']
Stack 20 with items: ['0090019100_28022023010142', '0090019100_28022023010142', '0090019100_28022023010142']
Stack 21 with items: ['0090019100_28022023010142', '0090019100_28022023008079', '0090019100_28022023008079']
Stack 22 with items: ['0090019100_28022023008079', '0090019100_28022023007429', '0090019100_28022023007429']
Stack 23 with items: ['0090019100_28022023007429', '0090019100_28022023005099', '0090019100_28022023005099']
Stack 24 with items: ['0090019100_28022023005099', '0090019100_28022023005099', '0090019100_28022023005099']
Stack 25 with items: ['0090019100_28022023005099', '0090019100_28022023004242', '0090019100_28022023004242']
Stack 26 with items: ['0090019100_28022023002433', '0090019100_28022023002433', '0090019100_28022023002433']
Stack 27 with items: ['0090019100_28022023001008', '0090019100_28022023001008', '0090019100_28022023001008']
Stack 28 with items: ['0090019100_28022023001008', '0090019100_28022023000707', '0090019100_28022023000707']
Stacks not packed:
Stack 16 missing: ['0090019100_28022023020200', '0090019100_28022023019915', '0090019100_28022023019915']
Stack 21 missing: ['0090019100_28022023010142', '0090019100_28022023008079', '0090019100_28022023008079']
Stack 26 missing: ['0090019100_28022023002433', '0090019100_28022023002433', '0090019100_28022023002433']
Stack 28 missing: ['0090019100_28022023001008', '0090019100_28022023000707', '0090019100_28022023000707']
