dataset: C
instance: MT
+-----------+
2D Packing Heuristic in Truck P110501803
Min2DVol: 32.39999999999999 [m2]
Stack 0 with items: ['0091017700_27022023007644', '0091017700_27022023007644', '0091017700_27022023007644']
Stack 1 with items: ['0091017700_27022023007644', '0091017700_27022023006169', '0091017700_27022023007644']
Stack 2 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 3 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 4 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 5 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 6 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 7 with items: ['0091017700_27022023005602', '0091017700_27022023005602', '0091017700_27022023005602']
Stack 8 with items: ['0091017700_27022023005602', '0091017700_27022023003101', '0091017700_27022023003101']
Stack 9 with items: ['0091017700_27022023003101', '0091017700_27022023003101', '0091017700_27022023003101']
Stack 10 with items: ['0091017700_27022023003101', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 11 with items: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 12 with items: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 13 with items: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 14 with items: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 15 with items: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
Stack 16 with items: ['0091017700_27022023001628', '0091017700_27022023001628', '0091017700_27022023001628']
Stack 17 with items: ['0091017700_27022023001628', '0091017700_27022023001628', '0091017700_27022023001628']
Stack 18 with items: ['0091017700_27022023001607', '0091017700_27022023001607', '0091017700_27022023001607']
Stack 19 with items: ['0091017700_27022023001607', '0091017700_27022023001607', '0091017700_27022023001607']
Stack 20 with items: ['0091017700_27022023001607', '0091017700_27022023001607', '0091017700_27022023001607']
Stack 21 with items: ['0091017700_27022023001607', '0091017700_27022023001607', '0091017700_27022023001607']
Stack 22 with items: ['0091017700_27022023001607', '0091017700_27022023001242', '0091017700_27022023001607']
Stack 23 with items: ['0091017700_27022023001242', '0091017700_27022023001242', '0091017700_27022023001242']
Stack 24 with items: ['0091017700_27022023001242', '0091017700_27022023001242', '0091017700_27022023001242']
Stack 25 with items: ['0091017700_27022023001242', '0091017700_27022023000672', '0091017700_27022023000672']
Stack 26 with items: ['0091017700_27022023002255']
Stacks not packed:
Stack 15 missing: ['0091017700_27022023002728', '0091017700_27022023002728', '0091017700_27022023002728']
