dataset: B
instance: CA2
+-----------+
2D Packing Heuristic in Truck P332404903
Min2DVol: 22.799999999999994 [m2]
Stack 0 with items: ['0090012500_26102022001029', '0090012500_26102022001029']
Stack 1 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 2 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 3 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 4 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 5 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 6 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 7 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 8 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 9 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 10 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 11 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 12 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 13 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 14 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 15 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 16 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 17 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Stack 18 with items: ['0090012500_26102022001029', '0090012500_26102022001029', '0090012500_26102022001029']
Heuristic packed all stacks
