dataset: A
instance: TA
+-----------+
2D Packing Heuristic in Truck P252385601
Min2DVol: 28.79999999999999 [m2]
Stack 0 with items: ['0090038300_03072022010283', '0090038300_03072022010113', '0090038300_03072022010283']
Stack 1 with items: ['0090038300_03072022010113', '0090038300_03072022006295', '0090038300_03072022010113']
Stack 2 with items: ['0090038300_03072022006295', '0090038300_03072022006295', '0090038300_03072022006295']
Stack 3 with items: ['0090038300_03072022006295', '0090038300_03072022006295', '0090038300_03072022006295']
Stack 4 with items: ['0090038300_03072022006295', '0090038300_03072022006295', '0090038300_03072022006295']
Stack 5 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 6 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 7 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 8 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 9 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 10 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 11 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 12 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 13 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 14 with items: ['0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183', '0090038300_03072022002183']
Stack 15 with items: ['0090038300_03072022002183', '0090038300_03072022001871', '0090038300_03072022001871', '0090038300_03072022001871']
Stack 16 with items: ['0090038300_03072022001871', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001871']
Stack 17 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 18 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 19 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 20 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 21 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 22 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Stack 23 with items: ['0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663', '0090038300_03072022001663']
Heuristic packed all stacks
