dataset: A
instance: SA2
+-----------+
2D Packing Heuristic in Truck P249154701
Min2DVol: 25.424400000000016 [m2]
Stack 0 with items: ['0090017100_03072022002818', '0090017100_03072022002818']
Stack 1 with items: ['0090017100_03072022000610', '0090017100_03072022000610']
Stack 2 with items: ['0090017100_03072022013423', '0090017100_03072022011137']
Stack 3 with items: ['0090017100_03072022002818', '0090017100_03072022002818']
Stack 4 with items: ['0090017100_03072022011137', '0090017100_03072022002818']
Stack 5 with items: ['0090017100_03072022000610', '0090017100_03072022000610']
Stack 6 with items: ['0090017100_03072022011137', '0090017100_03072022011137']
Stack 7 with items: ['0090017100_03072022012577', '0090017100_03072022009603']
Stack 8 with items: ['0090017100_03072022012577', '0090017100_03072022009603']
Stack 9 with items: ['0090017100_03072022012577', '0090017100_03072022009603']
Stack 10 with items: ['0090017100_03072022012577', '0090017100_03072022009603']
Stack 11 with items: ['0090017100_03072022012577', '0090017100_03072022009603']
Stack 12 with items: ['0090017100_03072022012577', '0090017100_03072022004032']
Stack 13 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 14 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 15 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 16 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 17 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 18 with items: ['0090017100_03072022009431', '0090017100_03072022004032']
Stack 19 with items: ['0090017100_03072022004032', '0090017100_03072022004032', '0090017100_03072022004032']
Stack 20 with items: ['0090017100_03072022004032', '0090017100_03072022004032']
Stack 21 with items: ['0090017100_03072022015330', '0090017100_03072022015330']
Stack 22 with items: ['0090017100_03072022011003', '0090017100_03072022011003']
Heuristic packed all stacks
