dataset: X
instance: BY4
+-----------+
2D Packing Heuristic in Truck P242068703
Min2DVol: 34.02 [m2]
Stack 0 with items: ['0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 1 with items: ['0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 2 with items: ['0090016900_14062023033221', '0090016900_14062023024960', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 3 with items: ['0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960']
Stack 4 with items: ['0090016900_14062023024960', '0090016900_14062023021021', '0090016900_14062023021021', '0090016900_14062023021021', '0090016900_14062023021021', '0090016900_14062023021021']
Stack 5 with items: ['0090016900_14062023015147', '0090016900_14062023002946', '0090016900_14062023004338', '0090016900_14062023013294', '0090016900_14062023002946', '0090016900_14062023015147']
Stacks not packed:
Stack 0 missing: ['0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 1 missing: ['0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 2 missing: ['0090016900_14062023033221', '0090016900_14062023024960', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221', '0090016900_14062023033221']
Stack 3 missing: ['0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960', '0090016900_14062023024960']
