dataset: B
instance: CL2
+-----------+
2D Packing Heuristic in Truck P347010101
Min2DVol: 25.199999999999992 [m2]
Stack 0 with items: ['0090016100_26102022002513', '0090016100_26102022002513']
Stack 1 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 2 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 3 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 4 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 5 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 6 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 7 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 8 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 9 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 10 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 11 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 12 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 13 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 14 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 15 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 16 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 17 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 18 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 19 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Stack 20 with items: ['0090016100_26102022002513', '0090016100_26102022002513', '0090016100_26102022002513']
Heuristic packed all stacks
