dataset: X
instance: CI7
+-----------+
2D Packing Heuristic in Truck P201401707
Min2DVol: 32.39999999999999 [m2]
Stack 0 with items: ['0090016800_14062023042125', '0090016800_14062023040077', '0090016800_14062023042125']
Stack 1 with items: ['0090016800_14062023040077', '0090016800_14062023040077', '0090016800_14062023040077']
Stack 2 with items: ['0090016800_14062023040077', '0090016800_14062023038042', '0090016800_14062023038042']
Stack 3 with items: ['0090016800_14062023038042', '0090016800_14062023024645', '0090016800_14062023038042']
Stack 4 with items: ['0090016800_14062023024645', '0090016800_14062023022427', '0090016800_14062023022427']
Stack 5 with items: ['0090016800_14062023022427', '0090016800_14062023022427', '0090016800_14062023022427']
Stack 6 with items: ['0090016800_14062023022427', '0090016800_14062023022427', '0090016800_14062023022427']
Stack 7 with items: ['0090016800_14062023017952', '0090016800_14062023017952', '0090016800_14062023017952']
Stack 8 with items: ['0090016800_14062023017081', '0090016800_14062023015067', '0090016800_14062023015067']
Stack 9 with items: ['0090016800_14062023015067', '0090016800_14062023015067', '0090016800_14062023015067']
Stack 10 with items: ['0090016800_14062023015067', '0090016800_14062023012908', '0090016800_14062023015067']
Stack 11 with items: ['0090016800_14062023012908', '0090016800_14062023012263', '0090016800_14062023012908']
Stack 12 with items: ['0090016800_14062023012263', '0090016800_14062023011698', '0090016800_14062023011698']
Stack 13 with items: ['0090016800_14062023011698', '0090016800_14062023009671', '0090016800_14062023009671']
Stack 14 with items: ['0090016800_14062023009671', '0090016800_14062023009671', '0090016800_14062023009671']
Stack 15 with items: ['0090016800_14062023009671', '0090016800_14062023009671', '0090016800_14062023009671']
Stack 16 with items: ['0090016800_14062023009464', '0090016800_14062023008800', '0090016800_14062023009464']
Stack 17 with items: ['0090016800_14062023008800', '0090016800_14062023008800', '0090016800_14062023008800']
Stack 18 with items: ['0090016800_14062023008800', '0090016800_14062023008800', '0090016800_14062023008800']
Stack 19 with items: ['0090016800_14062023008800', '0090016800_14062023008800', '0090016800_14062023008800']
Stack 20 with items: ['0090016800_14062023008800', '0090016800_14062023008800', '0090016800_14062023008800']
Stack 21 with items: ['0090016800_14062023008800', '0090016800_14062023007023', '0090016800_14062023008800']
Stack 22 with items: ['0090016800_14062023007023', '0090016800_14062023007023', '0090016800_14062023007023']
Stack 23 with items: ['0090016800_14062023007023', '0090016800_14062023007023', '0090016800_14062023007023']
Stack 24 with items: ['0090016800_14062023006095', '0090016800_14062023006095', '0090016800_14062023006095']
Stack 25 with items: ['0090016800_14062023006095', '0090016800_14062023001142', '0090016800_14062023006095']
Stack 26 with items: ['0090016800_14062023001142', '0090016800_14062023001142', '0090016800_14062023001142']
Stacks not packed:
Stack 24 missing: ['0090016800_14062023006095', '0090016800_14062023006095', '0090016800_14062023006095']
