dataset: X
instance: BY6
+-----------+
2D Packing Heuristic in Truck P205162041
Min2DVol: 31.503000000000014 [m2]
Stack 0 with items: ['0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826']
Stack 1 with items: ['0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826']
Stack 2 with items: ['0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826']
Stack 3 with items: ['0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826', '0090016900_14062023004826']
Stack 4 with items: ['0090016900_14062023004826', '0090016900_14062023003311', '0090016900_14062023003311', '0090016900_14062023003311']
Stack 5 with items: ['0090016900_14062023003311', '0090016900_14062023003311', '0090016900_14062023003311', '0090016900_14062023003311']
Stack 6 with items: ['0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813']
Stack 7 with items: ['0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813']
Stack 8 with items: ['0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813']
Stack 9 with items: ['0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813', '0090016900_14062023001813']
Stack 10 with items: ['0090016900_14062023001813', '0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079']
Stack 11 with items: ['0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079']
Stack 12 with items: ['0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079']
Stack 13 with items: ['0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079', '0090016900_14062023000079']
Stack 14 with items: ['0090016900_14062023037811', '0090016900_14062023037811', '0090016900_14062023037811', '0090016900_14062023037811']
Stack 15 with items: ['0090016900_14062023006487', '0090016900_14062023040232', '0090016900_14062023040232', '0090016900_14062023040232']
Stack 16 with items: ['0090016900_14062023006487', '0090016900_14062023032299', '0090016900_14062023032299', '0090016900_14062023037811']
Stack 17 with items: ['0090016900_14062023006487', '0090016900_14062023006487', '0090016900_14062023006487', '0090016900_14062023040232']
Stack 18 with items: ['0090016900_14062023032299', '0090016900_14062023032299', '0090016900_14062023032299']
Stack 19 with items: ['0090016900_14062023041169', '0090016900_14062023041169', '0090016900_14062023041169', '0090016900_14062023041169']
Stack 20 with items: ['0090016900_14062023009232', '0090016900_14062023009232', '0090016900_14062023009232', '0090016900_14062023009232']
Heuristic packed all stacks
