dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P105385605
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090038300_27022023032387', '0090038300_27022023032387', '0090038300_27022023032387']
Stack 1 with items: ['0090038300_27022023034215', '0090038300_27022023034215', '0090038300_27022023034215', '0090038300_27022023034215']
Stack 2 with items: ['0090038300_27022023034215', '0090038300_27022023034215', '0090038300_27022023034215', '0090038300_27022023034215']
Stack 3 with items: ['0090038300_27022023034215', '0090038300_27022023028133', '0090038300_27022023028133', '0090038300_27022023027784']
Stack 4 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 5 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 6 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 7 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 8 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 9 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 10 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 11 with items: ['0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784', '0090038300_27022023027784']
Stack 12 with items: ['0090038300_27022023009917', '0090038300_27022023008652', '0090038300_27022023009917', '0090038300_27022023009917']
Stack 13 with items: ['0090038300_27022023008652', '0090038300_27022023008652', '0090038300_27022023008652', '0090038300_27022023008652']
Stack 14 with items: ['0090038300_27022023008652', '0090038300_27022023008525', '0090038300_27022023008652', '0090038300_27022023008652']
Stack 15 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 16 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 17 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 18 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 19 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 20 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 21 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 22 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 23 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 24 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Stack 25 with items: ['0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525', '0090038300_27022023008525']
Heuristic packed all stacks
