dataset: X
instance: RM
+-----------+
2D Packing Heuristic in Truck P206395305
Min2DVol: 29.77806000000001 [m2]
Stack 0 with items: ['0090038200_08062023017868', '0090038200_08062023002480']
Stack 1 with items: ['0090038200_08062023029918', '0090038200_08062023029918', '0090038200_08062023029918']
Stack 2 with items: ['0090038200_08062023021827', '0090038200_08062023021827', '0090038200_08062023021827']
Stack 3 with items: ['0090038200_08062023021827', '0090038200_08062023021827', '0090038200_08062023021827']
Stack 4 with items: ['0090038200_08062023021827', '0090038200_08062023015788', '0090038200_08062023015788']
Stack 5 with items: ['0090038200_08062023015788', '0090038200_08062023015382', '0090038200_08062023015382']
Stack 6 with items: ['0090038200_08062023015382', '0090038200_08062023015106', '0090038200_08062023015382']
Stack 7 with items: ['0090038200_08062023010688', '0090038200_08062023010688', '0090038200_08062023010688']
Stack 8 with items: ['0090038200_08062023009132', '0090038200_08062023009132', '0090038200_08062023009132']
Stack 9 with items: ['0090038200_08062023009132', '0090038200_08062023009132', '0090038200_08062023009132']
Stack 10 with items: ['0090038200_08062023009132', '0090038200_08062023007587', '0090038200_08062023007587']
Stack 11 with items: ['0090038200_08062023007357', '0090038200_08062023007357', '0090038200_08062023007357']
Stack 12 with items: ['0090038200_08062023014762', '0090038200_08062023014762', '0090038200_08062023014762']
Stack 13 with items: ['0090038200_08062023021552', '0090038200_08062023021552', '0090038200_08062023021552']
Stack 14 with items: ['0090038200_08062023019272', '0090038200_08062023019272', '0090038200_08062023019272']
Stack 15 with items: ['0090038200_08062023014762', '0090038200_08062023014762', '0090038200_08062023027078']
Stack 16 with items: ['0090038200_08062023021552', '0090038200_08062023021552', '0090038200_08062023021552']
Stack 17 with items: ['0090038200_08062023027078', '0090038200_08062023021552', '0090038200_08062023027078']
Stack 18 with items: ['0090038200_08062023013213', '0090038200_08062023013213', '0090038200_08062023014762']
Stack 19 with items: ['0090038200_08062023022061', '0090038200_08062023022061', '0090038200_08062023022061']
Heuristic packed all stacks
