dataset: C
instance: DO
+-----------+
2D Packing Heuristic in Truck P095041109
Min2DVol: 30.240000000000002 [m2]
Stack 0 with items: ['0090019100_27022023027754', '0090019100_27022023000350', '0090019100_27022023000350', '0090019100_27022023000350', '0090019100_27022023000350']
Stack 1 with items: ['0090019100_27022023039494', '0090019100_27022023012574', '0090019100_27022023019887', '0090019100_27022023028211', '0090019100_27022023012153']
Stack 2 with items: ['0090019100_27022023022234']
Stack 3 with items: ['0090019100_27022023012574', '0090019100_27022023012574', '0090019100_27022023012574', '0090019100_27022023012574', '0090019100_27022023012574']
Stack 4 with items: ['0090019100_27022023026769', '0090019100_27022023005154', '0090019100_27022023001747']
Stack 5 with items: ['0090019100_27022023037681', '0090019100_27022023001747', '0090019100_27022023001747']
Stack 6 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 7 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 8 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 9 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 10 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 11 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 12 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 13 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 14 with items: ['0090019100_27022023031407', '0090019100_27022023031407']
Stack 15 with items: ['0090019100_27022023029493', '0090019100_27022023029493']
Stack 16 with items: ['0090019100_27022023029493', '0090019100_27022023009244']
Stack 17 with items: ['0090019100_27022023009244', '0090019100_27022023009244']
Heuristic packed all stacks
