dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P199161407
Min2DVol: 30.46200000000001 [m2]
Stack 0 with items: ['0090016900_08062023006748', '0090016900_08062023006748', '0090016900_08062023040616']
Stack 1 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 2 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 3 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 4 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 5 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 6 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 7 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 8 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 9 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 10 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 11 with items: ['0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007', '0090016900_08062023034007']
Stack 12 with items: ['0090016900_08062023016734', '0090016900_08062023016734', '0090016900_08062023016734', '0090016900_08062023016734']
Stack 13 with items: ['0090016900_08062023016734', '0090016900_08062023016734', '0090016900_08062023016734', '0090016900_08062023016734']
Stack 14 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Stack 15 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Stack 16 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Stack 17 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Stack 18 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Stack 19 with items: ['0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015', '0090016900_08062023013015']
Heuristic packed all stacks
