dataset: X
instance: CI3
+-----------+
2D Packing Heuristic in Truck P194447809
Min2DVol: 31.619111999999987 [m2]
Stack 0 with items: ['0090016800_08062023012206', '0090016800_08062023008814', '0090016800_08062023008814']
Stack 1 with items: ['0090016800_08062023000942']
Stack 2 with items: ['0090016800_08062023045598', '0090016800_08062023045598', '0090016800_08062023045598']
Stack 3 with items: ['0090016800_08062023045598', '0090016800_08062023031123', '0090016800_08062023031123']
Stack 4 with items: ['0090016800_08062023031123', '0090016800_08062023027878', '0090016800_08062023016475']
Stack 5 with items: ['0090016800_08062023016475', '0090016800_08062023016475', '0090016800_08062023016475']
Stack 6 with items: ['0090016800_08062023016475', '0090016800_08062023002892', '0090016800_08062023002892']
Stack 7 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 8 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 9 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 10 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 11 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 12 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 13 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 14 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 15 with items: ['0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019', '0090016800_08062023026019']
Stack 16 with items: ['0090016800_08062023026019', '0090016800_08062023019253', '0090016800_08062023019253', '0090016800_08062023002078']
Stack 17 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 18 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 19 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 20 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 21 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 22 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 23 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 24 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Stack 25 with items: ['0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078', '0090016800_08062023002078']
Heuristic packed all stacks
