dataset: X
instance: BY7
+-----------+
2D Packing Heuristic in Truck P193060909
Min2DVol: 29.759999999999994 [m2]
Stack 0 with items: ['0090016900_14062023041042', '0090016900_14062023017684', '0090016900_14062023021095', '0090016900_14062023040387', '0090016900_14062023016384']
Stack 1 with items: ['0090016900_14062023014607', '0090016900_14062023006795', '0090016900_14062023008936', '0090016900_14062023009473', '0090016900_14062023002497']
Stack 2 with items: ['0090016900_14062023029196', '0090016900_14062023022099']
Stack 3 with items: ['0090016900_14062023013839', '0090016900_14062023024136']
Stack 4 with items: ['0090016900_14062023007541', '0090016900_14062023007541']
Stack 5 with items: ['0090016900_14062023024136', '0090016900_14062023024136']
Stack 6 with items: ['0090016900_14062023013839', '0090016900_14062023007541']
Stack 7 with items: ['0090016900_14062023007541', '0090016900_14062023007541']
Stack 8 with items: ['0090016900_14062023022099', '0090016900_14062023007541']
Stack 9 with items: ['0090016900_14062023022099', '0090016900_14062023022099']
Stack 10 with items: ['0090016900_14062023024136', '0090016900_14062023024136']
Stack 11 with items: ['0090016900_14062023024136', '0090016900_14062023024136']
Stack 12 with items: ['0090016900_14062023007541', '0090016900_14062023024136']
Stack 13 with items: ['0090016900_14062023022099', '0090016900_14062023007541']
Heuristic packed all stacks
