dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P167065821
Min2DVol: 30.000000000000007 [m2]
Stack 0 with items: ['0090016900_08062023025746', '0090016900_08062023010486', '0090016900_08062023010486']
Stack 1 with items: ['0090016900_08062023045638', '0090016900_08062023039005', '0090016900_08062023039005', '0090016900_08062023045638']
Stack 2 with items: ['0090016900_08062023032410', '0090016900_08062023032410', '0090016900_08062023032410', '0090016900_08062023032410']
Stack 3 with items: ['0090016900_08062023032410', '0090016900_08062023024081', '0090016900_08062023024081', '0090016900_08062023024081']
Stack 4 with items: ['0090016900_08062023024081', '0090016900_08062023016959', '0090016900_08062023016959', '0090016900_08062023010991']
Stack 5 with items: ['0090016900_08062023010991', '0090016900_08062023007421', '0090016900_08062023007421', '0090016900_08062023010991']
Stack 6 with items: ['0090016900_08062023007421', '0090016900_08062023003944', '0090016900_08062023007421', '0090016900_08062023007421']
Stack 7 with items: ['0090016900_08062023003944', '0090016900_08062023003944', '0090016900_08062023003944', '0090016900_08062023003944']
Stack 8 with items: ['0090016900_08062023003944', '0090016900_08062023003944', '0090016900_08062023003944', '0090016900_08062023003944']
Stack 9 with items: ['0090016900_08062023040655', '0090016900_08062023012171', '0090016900_08062023012171', '0090016900_08062023040655']
Stack 10 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 11 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 12 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 13 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 14 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 15 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 16 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 17 with items: ['0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655', '0090016900_08062023040655']
Stack 18 with items: ['0090016900_08062023012171', '0090016900_08062023012171', '0090016900_08062023012171', '0090016900_08062023012171']
Heuristic packed all stacks
