dataset: X
instance: MA5
+-----------+
2D Packing Heuristic in Truck P173137301
Min2DVol: 20.520000000000003 [m2]
Stack 0 with items: ['0090016200_14062023012151', '0090016200_14062023012151', '0090016200_14062023012151', '0090016200_14062023012151']
Stack 1 with items: ['0090016200_14062023012151', '0090016200_14062023012147', '0090016200_14062023012151', '0090016200_14062023012151']
Stack 2 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 3 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 4 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 5 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 6 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 7 with items: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 8 with items: ['0090016200_14062023012147', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023012147']
Stack 9 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 10 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 11 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 12 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 13 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 14 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 15 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 16 with items: ['0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792', '0090016200_14062023006792']
Stack 17 with items: ['0090016200_14062023006792']
Stacks not packed:
Stack 4 missing: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 5 missing: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 6 missing: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
Stack 7 missing: ['0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147', '0090016200_14062023012147']
