dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P109150101
Min2DVol: 31.920000000000005 [m2]
Stack 0 with items: ['0090017100_27022023019747', '0090017100_27022023019353']
Stack 1 with items: ['0090017100_27022023018647', '0090017100_27022023018647']
Stack 2 with items: ['0090017100_27022023018647', '0090017100_27022023018647']
Stack 3 with items: ['0090017100_27022023018647', '0090017100_27022023015297']
Stack 4 with items: ['0090017100_27022023014210', '0090017100_27022023010990']
Stack 5 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 6 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 7 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 8 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 9 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 10 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 11 with items: ['0090017100_27022023009369', '0090017100_27022023009369']
Stack 12 with items: ['0090017100_27022023003789', '0090017100_27022023003789']
Stack 13 with items: ['0090017100_27022023003789', '0090017100_27022023003789']
Heuristic packed all stacks
