dataset: X
instance: CI5
+-----------+
2D Packing Heuristic in Truck P195447801
Min2DVol: 31.218059999999987 [m2]
Stack 0 with items: ['0090016800_14062023035781', '0090016800_14062023002013']
Stack 1 with items: ['0090016800_14062023041785', '0090016800_14062023041022', '0090016800_14062023041022']
Stack 2 with items: ['0090016800_14062023041022', '0090016800_14062023041022', '0090016800_14062023041022']
Stack 3 with items: ['0090016800_14062023041022', '0090016800_14062023040220', '0090016800_14062023041022']
Stack 4 with items: ['0090016800_14062023035897', '0090016800_14062023035897', '0090016800_14062023035897']
Stack 5 with items: ['0090016800_14062023034173', '0090016800_14062023034173', '0090016800_14062023034173']
Stack 6 with items: ['0090016800_14062023034173', '0090016800_14062023034173', '0090016800_14062023034173']
Stack 7 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 8 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 9 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 10 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 11 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 12 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 13 with items: ['0090016800_14062023031867', '0090016800_14062023031867', '0090016800_14062023031867']
Stack 14 with items: ['0090016800_14062023026074', '0090016800_14062023021461', '0090016800_14062023021461']
Stack 15 with items: ['0090016800_14062023019243', '0090016800_14062023019243', '0090016800_14062023019243']
Stack 16 with items: ['0090016800_14062023019243', '0090016800_14062023019243', '0090016800_14062023019243']
Stack 17 with items: ['0090016800_14062023019243', '0090016800_14062023016237', '0090016800_14062023016237']
Stack 18 with items: ['0090016800_14062023016237', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 19 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 20 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 21 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 22 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 23 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 24 with items: ['0090016800_14062023014577', '0090016800_14062023014577', '0090016800_14062023014577']
Stack 25 with items: ['0090016800_14062023014577', '0090016800_14062023004677', '0090016800_14062023004677']
Heuristic packed all stacks
