dataset: B
instance: RM2
+-----------+
2D Packing Heuristic in Truck P309395601
Min2DVol: 24.000000000000014 [m2]
Stack 0 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 1 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 2 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 3 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 4 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 5 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 6 with items: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 7 with items: ['0090038200_26102022005122', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 8 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 9 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 10 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 11 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 12 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 13 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 14 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 15 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 16 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 17 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 18 with items: ['0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615', '0090038200_26102022003615']
Stack 19 with items: ['0090038200_26102022003615', '0090038200_26102022003115', '0090038200_26102022002411']
Stack 20 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 21 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 22 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 23 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 24 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 25 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 26 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 27 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 28 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 29 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 30 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 31 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 32 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 33 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 34 with items: ['0090038200_26102022002411', '0090038200_26102022002411', '0090038200_26102022002411']
Stack 35 with items: ['0090038200_26102022002411', '0090038200_26102022000779', '0090038200_26102022002411']
Stack 36 with items: ['0090038200_26102022000050', '0090038200_26102022000050', '0090038200_26102022000050']
Stack 37 with items: ['0090038200_26102022000050', '0090038200_26102022000050', '0090038200_26102022000050']
Stack 38 with items: ['0090038200_26102022000050', '0090038200_26102022000050', '0090038200_26102022000050']
Stack 39 with items: ['0090038200_26102022000050', '0090038200_26102022000050', '0090038200_26102022000050']
Stacks not packed:
Stack 0 missing: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 1 missing: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 2 missing: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
Stack 3 missing: ['0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122', '0090038200_26102022005122']
