dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P102632801
Min2DVol: 27.3312 [m2]
Stack 0 with items: ['0091017300_27022023024334', '0091017300_27022023024334', '0091017300_27022023024334', '0091017300_27022023024334', '0091017300_27022023024334']
Stack 1 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 2 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 3 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 4 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 5 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 6 with items: ['0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025', '0091017300_27022023023025']
Stack 7 with items: ['0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990']
Stack 8 with items: ['0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990']
Stack 9 with items: ['0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990']
Stack 10 with items: ['0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990', '0091017300_27022023013990']
Stack 11 with items: ['0091017300_27022023013578', '0091017300_27022023013578', '0091017300_27022023013578', '0091017300_27022023013578', '0091017300_27022023013578']
Heuristic packed all stacks
