dataset: X
instance: TR3
+-----------+
2D Packing Heuristic in Truck P185274201
Min2DVol: 21.60000000000001 [m2]
Stack 0 with items: ['0090017000_08062023040064', '0090017000_08062023040064', '0090017000_08062023040064', '0090017000_08062023040064']
Stack 1 with items: ['0090017000_08062023040064', '0090017000_08062023038609', '0090017000_08062023040064', '0090017000_08062023040064']
Stack 2 with items: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 3 with items: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 4 with items: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 5 with items: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 6 with items: ['0090017000_08062023038609', '0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094']
Stack 7 with items: ['0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094']
Stack 8 with items: ['0090017000_08062023027319', '0090017000_08062023027319', '0090017000_08062023027319', '0090017000_08062023027319']
Stack 9 with items: ['0090017000_08062023027319', '0090017000_08062023025514', '0090017000_08062023027319', '0090017000_08062023027319']
Stack 10 with items: ['0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514']
Stack 11 with items: ['0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514']
Stack 12 with items: ['0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514']
Stack 13 with items: ['0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514', '0090017000_08062023025514']
Stack 14 with items: ['0090017000_08062023025514', '0090017000_08062023019580', '0090017000_08062023025514', '0090017000_08062023025514']
Stack 15 with items: ['0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580']
Stack 16 with items: ['0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580']
Stack 17 with items: ['0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580']
Stack 18 with items: ['0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580', '0090017000_08062023019580']
Stack 19 with items: ['0090017000_08062023019580', '0090017000_08062023015274', '0090017000_08062023019580', '0090017000_08062023019580']
Stack 20 with items: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 21 with items: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 22 with items: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 23 with items: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 24 with items: ['0090017000_08062023010875', '0090017000_08062023010875', '0090017000_08062023010875', '0090017000_08062023010875']
Stack 25 with items: ['0090017000_08062023010875', '0090017000_08062023010875', '0090017000_08062023010875', '0090017000_08062023010875']
Stack 26 with items: ['0090017000_08062023009973', '0090017000_08062023009973', '0090017000_08062023009973', '0090017000_08062023009973']
Stack 27 with items: ['0090017000_08062023009973', '0090017000_08062023007265', '0090017000_08062023007265', '0090017000_08062023009973']
Stack 28 with items: ['0090017000_08062023007265', '0090017000_08062023007265', '0090017000_08062023007265', '0090017000_08062023007265']
Stack 29 with items: ['0090017000_08062023007265', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023007265']
Stack 30 with items: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 31 with items: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 32 with items: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 33 with items: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 34 with items: ['0090017000_08062023028462', '0090017000_08062023028462', '0090017000_08062023028462']
Stack 35 with items: ['0090017000_08062023028462']
Stacks not packed:
Stack 4 missing: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 5 missing: ['0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609', '0090017000_08062023038609']
Stack 6 missing: ['0090017000_08062023038609', '0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094']
Stack 7 missing: ['0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094', '0090017000_08062023028094']
Stack 20 missing: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 21 missing: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 22 missing: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 23 missing: ['0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274', '0090017000_08062023015274']
Stack 28 missing: ['0090017000_08062023007265', '0090017000_08062023007265', '0090017000_08062023007265', '0090017000_08062023007265']
Stack 29 missing: ['0090017000_08062023007265', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023007265']
Stack 30 missing: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 31 missing: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 32 missing: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
Stack 33 missing: ['0090017000_08062023004891', '0090017000_08062023004891', '0090017000_08062023004891']
