dataset: X
instance: TR7
+-----------+
2D Packing Heuristic in Truck P214420405
Min2DVol: 31.467090000000024 [m2]
Stack 0 with items: ['0090017000_14062023043936', '0090017000_14062023014230', '0090017000_14062023018580', '0090017000_14062023031515', '0090017000_14062023000674']
Stack 1 with items: ['0090017000_14062023042066', '0090017000_14062023029982']
Stack 2 with items: ['0090017000_14062023027626', '0090017000_14062023023606']
Stack 3 with items: ['0090017000_14062023043282', '0090017000_14062023043282', '0090017000_14062023043282']
Stack 4 with items: ['0090017000_14062023043282', '0090017000_14062023043029', '0090017000_14062023043029']
Stack 5 with items: ['0090017000_14062023042142', '0090017000_14062023042122', '0090017000_14062023042122']
Stack 6 with items: ['0090017000_14062023040311', '0090017000_14062023040075', '0090017000_14062023040075']
Stack 7 with items: ['0090017000_14062023040103', '0090017000_14062023040103', '0090017000_14062023040103']
Stack 8 with items: ['0090017000_14062023040103', '0090017000_14062023040103', '0090017000_14062023040103']
Stack 9 with items: ['0090017000_14062023040075', '0090017000_14062023037315', '0090017000_14062023037315']
Stack 10 with items: ['0090017000_14062023039254', '0090017000_14062023039254', '0090017000_14062023039254']
Stack 11 with items: ['0090017000_14062023039254', '0090017000_14062023039254', '0090017000_14062023039254']
Stack 12 with items: ['0090017000_14062023039254', '0090017000_14062023034773', '0090017000_14062023039254']
Stack 13 with items: ['0090017000_14062023037315', '0090017000_14062023036589', '0090017000_14062023037315']
Stack 14 with items: ['0090017000_14062023036589', '0090017000_14062023034041', '0090017000_14062023034041']
Stack 15 with items: ['0090017000_14062023034773', '0090017000_14062023034773', '0090017000_14062023034773']
Stack 16 with items: ['0090017000_14062023034773', '0090017000_14062023030875', '0090017000_14062023034773']
Stack 17 with items: ['0090017000_14062023034041', '0090017000_14062023034041', '0090017000_14062023034041']
Stack 18 with items: ['0090017000_14062023034041', '0090017000_14062023034041', '0090017000_14062023034041']
Stack 19 with items: ['0090017000_14062023034028', '0090017000_14062023033858', '0090017000_14062023034028']
Stack 20 with items: ['0090017000_14062023033858', '0090017000_14062023033858', '0090017000_14062023033858']
Stack 21 with items: ['0090017000_14062023031307', '0090017000_14062023031038', '0090017000_14062023029123']
Stack 22 with items: ['0090017000_14062023030875', '0090017000_14062023027096', '0090017000_14062023027096']
Stack 23 with items: ['0090017000_14062023029123', '0090017000_14062023028903', '0090017000_14062023029123']
Stack 24 with items: ['0090017000_14062023027096', '0090017000_14062023027096', '0090017000_14062023027096']
Stack 25 with items: ['0090017000_14062023026040', '0090017000_14062023022691', '0090017000_14062023026040']
Stack 26 with items: ['0090017000_14062023022497', '0090017000_14062023022497', '0090017000_14062023022497']
Stack 27 with items: ['0090017000_14062023021193', '0090017000_14062023019185', '0090017000_14062023019185']
Stack 28 with items: ['0090017000_14062023019185', '0090017000_14062023016430', '0090017000_14062023015630']
Stack 29 with items: ['0090017000_14062023015630', '0090017000_14062023014064', '0090017000_14062023015630']
Stack 30 with items: ['0090017000_14062023014933', '0090017000_14062023014933', '0090017000_14062023014933']
Stack 31 with items: ['0090017000_14062023014933', '0090017000_14062023014933', '0090017000_14062023014933']
Stack 32 with items: ['0090017000_14062023014933', '0090017000_14062023008564', '0090017000_14062023008564']
Stack 33 with items: ['0090017000_14062023014064', '0090017000_14062023014064', '0090017000_14062023014064']
Stack 34 with items: ['0090017000_14062023013830', '0090017000_14062023013830', '0090017000_14062023013830']
