dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P087067801
Min2DVol: 28.974240000000012 [m2]
Stack 0 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 1 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 2 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 3 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 4 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 5 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 6 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 7 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 8 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 9 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 10 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 11 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 12 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 13 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 14 with items: ['0090016900_27022023034852', '0090016900_27022023034852']
Stack 15 with items: ['0090016900_27022023024913', '0090016900_27022023024913']
Stack 16 with items: ['0090016900_27022023024913', '0090016900_27022023024913']
Stack 17 with items: ['0090016900_27022023024913', '0090016900_27022023024913']
Heuristic packed all stacks
