dataset: X
instance: AS2
+-----------+
2D Packing Heuristic in Truck P201730401
Min2DVol: 35.52 [m2]
Stack 0 with items: ['0090018000_08062023000019', '0090018000_08062023004466', '0090018000_08062023007234']
Stack 1 with items: ['0090018000_08062023014247', '0090018000_08062023009590', '0090018000_08062023009074', '0090018000_08062023014276']
Stack 2 with items: ['0090018000_08062023013642', '0090018000_08062023013642', '0090018000_08062023013642']
Stack 3 with items: ['0090018000_08062023013642', '0090018000_08062023013642', '0090018000_08062023013642']
Stack 4 with items: ['0090018000_08062023013642', '0090018000_08062023012494', '0090018000_08062023012494']
Stack 5 with items: ['0090018000_08062023012494', '0090018000_08062023008245', '0090018000_08062023012494']
Stack 6 with items: ['0090018000_08062023008245', '0090018000_08062023008245', '0090018000_08062023008245']
Stack 7 with items: ['0090018000_08062023008245', '0090018000_08062023008245', '0090018000_08062023008245']
Stack 8 with items: ['0090018000_08062023008245', '0090018000_08062023008245', '0090018000_08062023008245']
Stack 9 with items: ['0090018000_08062023008245', '0090018000_08062023007194', '0090018000_08062023008245']
Stack 10 with items: ['0090018000_08062023000166', '0090018000_08062023000166', '0090018000_08062023000166']
Stack 11 with items: ['0090018000_08062023000166', '0090018000_08062023000166', '0090018000_08062023000166']
Stack 12 with items: ['0090018000_08062023000166', '0090018000_08062023000166', '0090018000_08062023000166']
Stack 13 with items: ['0090018000_08062023001550', '0090018000_08062023001550', '0090018000_08062023010593']
Stack 14 with items: ['0090018000_08062023010669', '0090018000_08062023010669', '0090018000_08062023010669']
Stack 15 with items: ['0090018000_08062023001790', '0090018000_08062023001790', '0090018000_08062023010593']
Stack 16 with items: ['0090018000_08062023001790', '0090018000_08062023001790', '0090018000_08062023010593']
Stack 17 with items: ['0090018000_08062023001550', '0090018000_08062023001550', '0090018000_08062023001550']
Stack 18 with items: ['0090018000_08062023001550', '0090018000_08062023001790', '0090018000_08062023010593']
Stack 19 with items: ['0090018000_08062023001549', '0090018000_08062023001790', '0090018000_08062023010593']
Stack 20 with items: ['0090018000_08062023001550', '0090018000_08062023001550', '0090018000_08062023001550']
Stack 21 with items: ['0090018000_08062023001790', '0090018000_08062023001549', '0090018000_08062023001549']
Stack 22 with items: ['0090018000_08062023010593', '0090018000_08062023010593', '0090018000_08062023010593']
Stacks not packed:
Stack 1 missing: ['0090018000_08062023014247', '0090018000_08062023009590', '0090018000_08062023009074', '0090018000_08062023014276']
