dataset: C
instance: FL2
+-----------+
2D Packing Heuristic in Truck P108171401
Min2DVol: 29.39645999999999 [m2]
Stack 0 with items: ['0090015100_28022023004501', '0090015100_28022023004400', '0090015100_28022023004501', '0090015100_28022023004501']
Stack 1 with items: ['0090015100_28022023004400', '0090015100_28022023003644', '0090015100_28022023004400', '0090015100_28022023004400']
Stack 2 with items: ['0090015100_28022023003644', '0090015100_28022023001798', '0090015100_28022023002295', '0090015100_28022023001798']
Stack 3 with items: ['0090015100_28022023000190', '0090015100_28022023000039', '0090015100_28022023000190', '0090015100_28022023000190']
Stack 4 with items: ['0090015100_28022023001917', '0090015100_28022023000585', '0090015100_28022023000585', '0090015100_28022023000585', '0090015100_28022023001917', '0090015100_28022023004407']
Stack 5 with items: ['0090015100_28022023001785', '0090015100_28022023001785']
Stack 6 with items: ['0090015100_28022023001785', '0090015100_28022023001785', '0090015100_28022023001785']
Stack 7 with items: ['0090015100_28022023001785', '0090015100_28022023001785', '0090015100_28022023001785']
Stack 8 with items: ['0090015100_28022023001785', '0090015100_28022023001785', '0090015100_28022023001785']
Stack 9 with items: ['0090015100_28022023001785', '0090015100_28022023001785', '0090015100_28022023001785']
Stack 10 with items: ['0090015100_28022023004094', '0090015100_28022023004094', '0090015100_28022023006393']
Stack 11 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 12 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 13 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 14 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 15 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 16 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 17 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 18 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 19 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 20 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 21 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 22 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stack 23 with items: ['0090015100_28022023005902', '0090015100_28022023005902', '0090015100_28022023005902']
Stacks not packed:
Stack 1 missing: ['0090015100_28022023004400', '0090015100_28022023003644', '0090015100_28022023004400', '0090015100_28022023004400']
Stack 2 missing: ['0090015100_28022023003644', '0090015100_28022023001798', '0090015100_28022023002295', '0090015100_28022023001798']
Stack 3 missing: ['0090015100_28022023000190', '0090015100_28022023000039', '0090015100_28022023000190', '0090015100_28022023000190']
