dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P087386101
Min2DVol: 31.75223999999999 [m2]
Stack 0 with items: ['0090038300_27022023036585', '0090038300_27022023036585']
Stack 1 with items: ['0090038300_27022023036585', '0090038300_27022023036585']
Stack 2 with items: ['0090038300_27022023014282', '0090038300_27022023001061']
Stack 3 with items: ['0090038300_27022023001061', '0090038300_27022023001061']
Stack 4 with items: ['0090038300_27022023020086', '0090038300_27022023002303', '0090038300_27022023020086']
Stack 5 with items: ['0090038300_27022023002303', '0090038300_27022023002303', '0090038300_27022023002303']
Stack 6 with items: ['0090038300_27022023002303', '0090038300_27022023002303', '0090038300_27022023002303']
Stack 7 with items: ['0090038300_27022023020086', '0090038300_27022023020086', '0090038300_27022023020086']
Stack 8 with items: ['0090038300_27022023033331', '0090038300_27022023029659', '0090038300_27022023019888']
Stack 9 with items: ['0090038300_27022023019888', '0090038300_27022023019888', '0090038300_27022023019888']
Stack 10 with items: ['0090038300_27022023019888', '0090038300_27022023019888', '0090038300_27022023019888']
Stack 11 with items: ['0090038300_27022023019888', '0090038300_27022023019764', '0090038300_27022023019764']
Stack 12 with items: ['0090038300_27022023019764', '0090038300_27022023019764', '0090038300_27022023019764']
Stack 13 with items: ['0090038300_27022023019764', '0090038300_27022023019764', '0090038300_27022023019764']
Stack 14 with items: ['0090038300_27022023019764', '0090038300_27022023019764', '0090038300_27022023019764']
Stack 15 with items: ['0090038300_27022023019764', '0090038300_27022023019764', '0090038300_27022023019764']
Stack 16 with items: ['0090038300_27022023019764', '0090038300_27022023009184', '0090038300_27022023009184']
Stack 17 with items: ['0090038300_27022023009184', '0090038300_27022023009184', '0090038300_27022023009184']
Stack 18 with items: ['0090038300_27022023009184', '0090038300_27022023009184', '0090038300_27022023009184']
Stack 19 with items: ['0090038300_27022023005244', '0090038300_27022023005244', '0090038300_27022023005244']
Stack 20 with items: ['0090038300_27022023005244', '0090038300_27022023005244', '0090038300_27022023005244']
Stack 21 with items: ['0090038300_27022023005244', '0090038300_27022023005244', '0090038300_27022023005244']
Stack 22 with items: ['0090038300_27022023005244', '0090038300_27022023005244', '0090038300_27022023005244']
Stack 23 with items: ['0090038300_27022023005244', '0090038300_27022023005244', '0090038300_27022023005244']
Heuristic packed all stacks
