dataset: C
instance: PA
+-----------+
2D Packing Heuristic in Truck P079632703
Min2DVol: 31.968000000000007 [m2]
Stack 0 with items: ['0091017200_27022023040230', '0091017200_27022023008503']
Stack 1 with items: ['0091017200_27022023008938', '0091017200_27022023008503', '0091017200_27022023008503']
Stack 2 with items: ['0091017200_27022023049126', '0091017200_27022023049126', '0091017200_27022023049126', '0091017200_27022023049126', '0091017200_27022023049126', '0091017200_27022023049126']
Stack 3 with items: ['0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408']
Stack 4 with items: ['0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408']
Stack 5 with items: ['0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408']
Stack 6 with items: ['0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408']
Stack 7 with items: ['0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408', '0091017200_27022023039408']
Stack 8 with items: ['0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539']
Stack 9 with items: ['0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539']
Stack 10 with items: ['0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539']
Stack 11 with items: ['0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539', '0091017200_27022023012539']
Heuristic packed all stacks
