dataset: B
instance: VA2
+-----------+
2D Packing Heuristic in Truck P335501107
Min2DVol: 31.679999999999993 [m2]
Stack 0 with items: ['0091017300_26102022011795', '0091017300_26102022011687', '0091017300_26102022009603', '0091017300_26102022011795', '0091017300_26102022011795']
Stack 1 with items: ['0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733']
Stack 2 with items: ['0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733']
Stack 3 with items: ['0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733', '0091017300_26102022008733']
Stack 4 with items: ['0091017300_26102022008733', '0091017300_26102022008477', '0091017300_26102022008477', '0091017300_26102022008477', '0091017300_26102022008477']
Stack 5 with items: ['0091017300_26102022008477', '0091017300_26102022007485', '0091017300_26102022007485', '0091017300_26102022007485', '0091017300_26102022007485']
Stack 6 with items: ['0091017300_26102022007485', '0091017300_26102022005619', '0091017300_26102022007485', '0091017300_26102022007485', '0091017300_26102022007485']
Stack 7 with items: ['0091017300_26102022005619', '0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005619', '0091017300_26102022005619']
Stack 8 with items: ['0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039']
Stack 9 with items: ['0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039', '0091017300_26102022005039']
Stack 10 with items: ['0091017300_26102022005039', '0091017300_26102022001280', '0091017300_26102022004648', '0091017300_26102022001280', '0091017300_26102022005039']
Heuristic packed all stacks
