dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P080501107
Min2DVol: 31.679999999999993 [m2]
Stack 0 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 1 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 2 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 3 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 4 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 5 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 6 with items: ['0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001', '0091017300_27022023030001']
Stack 7 with items: ['0091017300_27022023030001', '0091017300_27022023016543', '0091017300_27022023016543', '0091017300_27022023024592', '0091017300_27022023016543']
Stack 8 with items: ['0091017300_27022023016543', '0091017300_27022023014248', '0091017300_27022023014248', '0091017300_27022023014248', '0091017300_27022023016543']
Stack 9 with items: ['0091017300_27022023014248', '0091017300_27022023013262', '0091017300_27022023013262', '0091017300_27022023014248', '0091017300_27022023014248']
Stack 10 with items: ['0091017300_27022023013262', '0091017300_27022023010972', '0091017300_27022023010972', '0091017300_27022023013262', '0091017300_27022023013262']
Heuristic packed all stacks
