dataset: X
instance: CI4
+-----------+
2D Packing Heuristic in Truck P177447809
Min2DVol: 31.566722999999985 [m2]
Stack 0 with items: ['0090016800_14062023012360', '0090016800_14062023014530', '0090016800_14062023026243']
Stack 1 with items: ['0090016800_14062023007858', '0090016800_14062023007858', '0090016800_14062023007858']
Stack 2 with items: ['0090016800_14062023007858', '0090016800_14062023000976', '0090016800_14062023007858']
Stack 3 with items: ['0090016800_14062023012360', '0090016800_14062023009646', '0090016800_14062023009646']
Stack 4 with items: ['0090016800_14062023031987', '0090016800_14062023031088', '0090016800_14062023031088']
Stack 5 with items: ['0090016800_14062023021579', '0090016800_14062023016559', '0090016800_14062023007412']
Stack 6 with items: ['0090016800_14062023007412', '0090016800_14062023007412', '0090016800_14062023007412']
Stack 7 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 8 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 9 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 10 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 11 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 12 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 13 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 14 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 15 with items: ['0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766', '0090016800_14062023039766']
Stack 16 with items: ['0090016800_14062023039766', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023039766']
Stack 17 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 18 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 19 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 20 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 21 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 22 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 23 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 24 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Stack 25 with items: ['0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382', '0090016800_14062023016382']
Heuristic packed all stacks
