dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P350050509
Min2DVol: 32.88762000000001 [m2]
Stack 0 with items: ['0090017100_26102022016504', '0090017100_26102022016504']
Stack 1 with items: ['0090017100_26102022016504', '0090017100_26102022016504']
Stack 2 with items: ['0090017100_26102022016302', '0090017100_26102022016302']
Stack 3 with items: ['0090017100_26102022016302', '0090017100_26102022016302']
Stack 4 with items: ['0090017100_26102022016302', '0090017100_26102022015176']
Stack 5 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 6 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 7 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 8 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 9 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 10 with items: ['0090017100_26102022015176', '0090017100_26102022015176']
Stack 11 with items: ['0090017100_26102022015008']
Stack 12 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 13 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 14 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 15 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 16 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 17 with items: ['0090017100_26102022008080', '0090017100_26102022008080']
Stack 18 with items: ['0090017100_26102022002806', '0090017100_26102022002806']
Stack 19 with items: ['0090017100_26102022002806', '0090017100_26102022002806']
Stack 20 with items: ['0090017100_26102022002806', '0090017100_26102022002806']
Stack 21 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stack 22 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stack 23 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stack 24 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stack 25 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stack 26 with items: ['0090017100_26102022000482', '0090017100_26102022000482']
Stacks not packed:
Stack 3 missing: ['0090017100_26102022016302', '0090017100_26102022016302']
