dataset: X
instance: TR2
+-----------+
2D Packing Heuristic in Truck P171422515
Min2DVol: 30.925600000000003 [m2]
Stack 0 with items: ['0090017000_08062023002478', '0090017000_08062023002478', '0090017000_08062023002478']
Stack 1 with items: ['0090017000_08062023041350', '0090017000_08062023041350', '0090017000_08062023041350']
Stack 2 with items: ['0090017000_08062023041350', '0090017000_08062023041350', '0090017000_08062023041350']
Stack 3 with items: ['0090017000_08062023041350', '0090017000_08062023041350', '0090017000_08062023041350']
Stack 4 with items: ['0090017000_08062023041350', '0090017000_08062023041350', '0090017000_08062023041350']
Stack 5 with items: ['0090017000_08062023041350', '0090017000_08062023033918', '0090017000_08062023033918']
Stack 6 with items: ['0090017000_08062023033918', '0090017000_08062023033617', '0090017000_08062023033918']
Stack 7 with items: ['0090017000_08062023032004', '0090017000_08062023032004', '0090017000_08062023032004']
Stack 8 with items: ['0090017000_08062023032004', '0090017000_08062023032004', '0090017000_08062023032004']
Stack 9 with items: ['0090017000_08062023032004', '0090017000_08062023032004', '0090017000_08062023032004']
Stack 10 with items: ['0090017000_08062023032004', '0090017000_08062023032004', '0090017000_08062023032004']
Stack 11 with items: ['0090017000_08062023032004', '0090017000_08062023032004', '0090017000_08062023032004']
Stack 12 with items: ['0090017000_08062023032004', '0090017000_08062023019351', '0090017000_08062023015651']
Stack 13 with items: ['0090017000_08062023028511', '0090017000_08062023028511', '0090017000_08062023028511']
Stack 14 with items: ['0090017000_08062023028511', '0090017000_08062023028511', '0090017000_08062023028511']
Stack 15 with items: ['0090017000_08062023033637', '0090017000_08062023033637', '0090017000_08062023033637']
Stack 16 with items: ['0090017000_08062023033637', '0090017000_08062023028511', '0090017000_08062023033637']
Heuristic packed all stacks
