Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017600_14062023000001;0002901107;;0091017600;176FD1;253C62627R;ECA---0021;1;1200;1000;345;44,150;0;GERB--3551_1200_1000;none;202306160000;202306211545;68;100
0091017600_14062023000002;0002901101;;0091017600;176GRQ;622560243R;ECM---8544;1;1400;1200;1500;251,000;45;GERB--0475_1400_1200;none;202307140000;202307180800;12;100
0091017600_14062023000003;0002901101;;0091017600;176FDE;850701429R;SFDA--6869;2;1600;1200;930;171,330;45;GERB--1613_1600_1200;lengthwise;202307210000;202307271100;2;100
0091017600_14062023000004;0002901101;;0091017600;176FDE;620260503R;ECM---5393;1;2400;2200;1500;195,600;45;GERB--0440_2400_2200;none;202307030000;202307141830;3;100
0091017600_14062023000005;0002901101;;0091017600;176FDE;620365678R;ECM---5395;2;1600;1200;1500;186,264;45;GERB--1613_1600_1200;lengthwise;202307030000;202307121200;3;100
0091017600_14062023000006;0002901101;;0091017600;176FD1;628172104R;SLI---2112;1;1206;1010;1083;116,000;0;GERB--0528_1206_1010;none;202307070000;202307261030;9;100
0091017600_14062023000007;0002901101;;0091017600;176FDE;620840771R;SFDA--6868;1;1600;1200;930;176,360;45;GERB--1613_1600_1200;lengthwise;202307200000;202307261500;2;100
0091017600_14062023000008;0002901101;;0091017600;176FDE;622352140R;ECM---5396;1;1750;1200;1470;228,620;45;GERB--0320_1750_1200;lengthwise;202307070000;202307261030;4;100
0091017600_14062023000009;0002901101;;0091017600;176FDE;622352140R;ECM---5396;4;1750;1200;1470;228,620;45;GERB--0320_1750_1200;lengthwise;202307050000;202307211700;4;100
0091017600_14062023000010;0002901101;;0091017600;176FDE;960160650R;SLI---0601;7;1200;1000;750;131,700;45;GERB--1213_1200_1000;none;202306050000;202306210630;2;100
0091017600_14062023000011;0002901101;;0091017600;176GRQ;622564586R;ECM---8544;1;1400;1200;1500;251,000;45;GERB--0475_1400_1200;none;202307200000;202307241830;13;100
0091017600_14062023000012;0027376000;;0091017600;176ARA;762333813R;SLI---0901;3;1600;1200;750;553,000;45;GERB--1613_1600_1200;none;202307050000;202307101000;20;100
0091017600_14062023000013;0002901101;;0091017600;176GRQ;620729076R;SFDA--9849;1;1600;1200;750;150,030;45;GERB--1613_1600_1200;none;202307240000;202307272000;1;100
0091017600_14062023000014;0002901101;;0091017600;176FD1;620372659R;SLI---2112;1;1206;1010;1083;123,695;0;GERB--0528_1206_1010;none;202306160000;202306200800;4;100
0091017600_14062023000015;0002901101;;0091017600;176GRQ;622560243R;ECM---8544;1;1400;1200;1500;251,000;45;GERB--0475_1400_1200;none;202307170000;202307191830;12;100
0091017600_14062023000016;0002901101;;0091017600;176FD1;628169737R;SLI---2112;1;1206;1010;1083;116,000;0;GERB--0528_1206_1010;none;202307030000;202307191030;9;100
0091017600_14062023000017;0002901101;;0091017600;176GRQ;622560243R;ECM---8544;2;1400;1200;1500;251,000;45;GERB--0475_1400_1200;none;202306200000;202306221430;12;100
0091017600_14062023000018;0011130700;;0091017600;176ARA;671544255R;SLI---0770;2;1200;1000;975;273,240;45;GERB--1213_1200_1000;none;202307120000;202307171000;4;100
0091017600_14062023000019;0002901101;;0091017600;176FDE;623822797R;SFDA--6867;2;1600;1200;930;156,112;45;GERB--1613_1600_1200;lengthwise;202307030000;202307111700;4;100
0091017600_14062023000020;0002901101;;0091017600;176GRQ;850B29386R;SFDA--9848;2;1600;1200;930;178,854;45;GERB--1613_1600_1200;none;202307120000;202307141200;2;100
0091017600_14062023000021;0002901121;;0091017600;176FD1;511801345R;ECA---0021;1;1200;1000;945;114,480;0;GERB--3551_1200_1000;none;202307030000;202307041545;20;100
0091017600_14062023000022;0002901101;;0091017600;176FD1;624146314R;SLI---2112;2;1206;1010;784;83,800;0;GERB--0528_1206_1010;none;202307210000;202307260800;21;100
0091017600_14062023000023;0002901101;;0091017600;176FDE;850724743R;SFDA--6869;1;1600;1200;930;169,020;45;GERB--1613_1600_1200;lengthwise;202307130000;202307181900;6;100
0091017600_14062023000024;0011130702;;0091017600;176ARA;759223776R;CON-S-0130;2;780;570;478;180,000;47;GERB--3195_780_570;widthwise;202307120000;202307170700;4;4
0091017600_14062023000025;0002901101;;0091017600;176FDE;623822797R;SFDA--6867;2;1600;1200;930;156,112;45;GERB--1613_1600_1200;lengthwise;202307030000;202307190800;4;100
0091017600_14062023000026;0002901101;;0091017600;176FDE;601989439R;SLI---0601;1;1200;1000;750;133,570;45;GERB--1213_1200_1000;none;202307240000;202307281100;2;100
0091017600_14062023000027;0002901101;;0091017600;176GRQ;620262146R;ECM---4777;2;2400;2200;1500;412,580;45;GERB--0440_2400_2200;none;202307210000;202307261430;11;100
0091017600_14062023000028;0011130702;;0091017600;176ARA;676219470R;SLI---0130;4;800;600;560;158,000;42;GERB--0588_800_600;lengthwise;202307130000;202307180700;3;100
0091017600_14062023000029;0002901101;;0091017600;176PL1;620724174R;ECM---5584;1;2000;1200;1500;158,544;45;GERB--0121_2000_1200;none;202307030000;202307041200;4;100
0091017600_14062023000030;0002901101;;0091017600;176GRQ;622548476R;SFDA--6730;1;1600;1200;930;178,044;45;GERB--1613_1600_1200;lengthwise;202307260000;202307281200;2;100
