Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0002858600;4;;3;0090016100;F14;4;8200919059;202303201540;P079254301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002858600;4;;3;0090016100;F14;4;8200494097;202303201540;P079254301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0011111100;2;;4;0090016100;161GK300;0;150109223R;202303201540;P079254301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002407003;3;;1;0090016100;161GK300;0;8200009120;202303201540;P079254301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0042319000;1;;2;0090016100;161GM100;0;160728750R;202303201540;P079254301;13500;2440;2600;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C25085R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;150508786R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;241367343R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;223676818R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;111503895R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C21291R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C34175R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C28440R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C27237R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;111507749R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C25969R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;140A19019R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C25367R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C27378R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C29511R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005965102;1;;1;0090016100;161GK300;0;152577731R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GK300;0;8200924262;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C24737R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005965102;1;;1;0090016100;161GK300;0;210477021R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;140A18124R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;8201026919;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;150501538R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GM100;0;130C23866R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005915200;2;;2;0090016100;161GK300;0;118305765R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005965102;1;;1;0090016100;161GK300;0;140532602R;202303161525;P075010905;13500;2440;3000;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144106727R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144115446R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144116091R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144118020R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144107570R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144D24359R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;144D22173R;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0023207003;1;;1;0090016100;161GK300;0;8201054152;202303151230;P074210701;13500;2440;3000;24000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290P18641R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290P12255R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290R14303R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290P14300R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290R13686R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;1;;1;0090016100;G14;1;290R19929R;202303281615;P087010003;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296L96616R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296G90943R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002504100;2;;2;0090016100;161GK300;0;147354256R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002504100;2;;2;0090016100;161GK300;0;147355889R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296689283R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296837663R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296G97928R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002555901;1;;1;0090016100;G14;1;296749415R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0002504100;2;;2;0090016100;161GK300;0;147353806R;202304061800;P096339605;13500;2440;2900;25000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0027565500;2;;2;0090016100;G14;1;290P18641R;202303281325;P087010007;13500;2440;2800;28000;0;1500;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
