Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090015100_28022023000001;0001295500;;0090015100;GCPL01;969128963R;SLI---2112;1;1206;1010;385;22,232;0;GERB--0528_1206_1010;none;202304180000;202304200715;15;100
0090015100_28022023000002;0001295500;;0090015100;GCPL01;689209819R;SLI---2112;1;1206;1010;485;55,890;0;GERB--0528_1206_1010;none;202303090000;202303130715;4;100
0090015100_28022023000003;0021865325;;0090015100;GCPL01;241638370S;ECM---4833;1;1210;1010;990;235,712;20;GERB--0408_1210_1010;none;202303030000;202303080700;32;100
0090015100_28022023000004;0007908422;;0090015100;G04866;904108626R;CON-S-0130;1;780;570;478;102,852;47;GERB--3195_780_570;widthwise;202303280000;202304040915;3;4
0090015100_28022023000005;0001295540;;0090015100;G08896;681008191R;ECM---5729;2;2400;1640;1490;86,400;45;GERB--0958_2400_1640;none;202303130000;202303151145;9;100
0090015100_28022023000006;0005915200;;0090015100;G08307;215549271R;SLI---0770;10;1200;1000;975;137,400;45;GERB--1213_1200_1000;none;202304040000;202304120915;1;100
0090015100_28022023000007;0090019100;GR G0;0090015100;G14327;762157662R;CON-S-0130;1;780;570;478;83,250;47;GERB--3195_780_570;widthwise;202303090000;202303160515;2;4
0090015100_28022023000008;0027376300;;0090015100;G14327;844005848R;SLI---2112;2;1206;1010;385;168,820;0;GERB--0528_1206_1010;none;202304030000;202304110700;41;100
0090015100_28022023000009;0027030002;;0090015100;GCPL01;802929984R;SLI---2112;1;1206;1010;485;58,900;0;GERB--0528_1206_1010;none;202303060000;202303090600;6;100
0090015100_28022023000010;0001295540;;0090015100;GCPL01;682112859R;SLI---2112;1;1206;1010;1181;209,775;0;GERB--0528_1206_1010;none;202304050000;202304070715;40;100
0090015100_28022023000011;0002573224;;0090015100;G04866;752105655R;SLI---0760;4;1200;1000;930;220,172;45;GERB--1213_1200_1000;none;202304050000;202304130945;5;100
0090015100_28022023000012;0027030002;;0090015100;G08630;829A05811R;ECM---4268;8;1600;1200;975;148,440;45;GERB--1612_1600_1200;none;202303170000;202303221100;2;100
0090015100_28022023000013;0027376300;;0090015100;G14327;8200864613;CON-S-0130;4;780;570;478;207,262;47;GERB--3195_780_570;widthwise;202303210000;202303280700;12;4
0090015100_28022023000014;0009624700;;0090015100;G08307;402009692R;MCC---0640;7;1600;1200;1200;1308,000;45;GERB--1613_1600_1200;none;202304110000;202304140930;46;100
0090015100_28022023000015;0005915200;;0090015100;G08307;626538766R;SLI---0770;12;1200;1000;975;133,875;45;GERB--1213_1200_1000;none;202304040000;202304120915;2;100
0090015100_28022023000016;0023676301;;0090015100;GCPL01;848104460R;SLI---2112;2;1206;1010;296;32,318;0;GERB--0528_1206_1010;none;202304130000;202304200845;11;100
0090015100_28022023000017;0091018400;;0090015100;GCPL01;296904592R;SLI---2112;4;1206;1010;1185;345,150;0;GERB--0528_1206_1010;none;202303270000;202304130515;53;100
0090015100_28022023000018;0025869802;;0090015100;G08307;214819480R;SLI---0770;12;1200;1000;975;208,000;45;GERB--1213_1200_1000;none;202304120000;202304190915;13;100
0090015100_28022023000019;0021865325;;0090015100;G08307;240802684R;SLI---2112;1;1206;1010;1085;142,100;0;GERB--0528_1206_1010;none;202303170000;202303220700;14;100
0090015100_28022023000020;0011509705;;0090015100;GCPL01;924903137R;SLI---2112;6;1206;1010;1391;110,168;0;GERB--0528_1206_1010;none;202303220000;202303270630;10;100
