Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016800_28022023000001;0021865316;;0090016800;GR0510;240251562R;SLI---2112;1;1206;1010;485;63,407;0;GERB--0528_1206_1010;none;202303110000;202303131930;22;100
0090016800_28022023000002;0043051102;;0090016800;G0511;259152998R;ENS1936431;1;1140;980;1071;223,666;0;GERB--7391_1140_980;none;202303290000;202304011430;0;100
0090016800_28022023000003;0090016500;1GRA;0090016800;G0526;320108084R;CFDA--7000;6;2280;1170;670;616,652;45;GERB--2226_2280_1170;none;202303280000;202303311120;41;100
0090016800_28022023000004;0061187700;;0090016800;G0521;751529768R;CON-S-0130;2;780;570;478;159,200;47;GERB--3195_780_570;widthwise;202304210000;202304221040;5;4
0090016800_28022023000005;0023342502;;0090016800;G0511;808210572R;SLI---2112;1;1206;1010;385;76,552;0;GERB--0528_1206_1010;none;202304190000;202304201540;22;100
0090016800_28022023000006;0027107000;;0090016800;G0511;806064422R;SLI---2112;1;1206;1010;485;82,200;0;GERB--0528_1206_1010;none;202303100000;202303141215;27;100
0090016800_28022023000007;0091017700;177GRL;0090016800;G0526;100014592R;MFM---0374;1;2300;1420;950;1022,020;45;GERB--2315_2300_1420;none;202303290000;202303300700;84;100
0090016800_28022023000008;0021865316;;0090016800;G0515;241266071R;SLI---2112;2;1206;1010;485;82,500;0;GERB--0528_1206_1010;none;202304120000;202304131330;19;100
0090016800_28022023000009;0091017700;177GRL;0090016800;G0526;100017774R;MFM---7420;2;2300;1420;950;1084,606;45;GERB--2315_2300_1420;none;202303220000;202303231745;102;100
0090016800_28022023000010;0024975302;;0090016800;G0511;924403100R;SLI---2112;1;1206;1010;485;87,200;0;GERB--0528_1206_1010;none;202303270000;202303291910;52;100
0090016800_28022023000011;0021865316;;0090016800;GR0510;240104780S;SLI---2112;1;1206;1010;1391;206,948;0;GERB--0528_1206_1010;none;202303160000;202303171930;24;100
0090016800_28022023000012;0027170501;;0090016800;G0511;206511084R;SLI---2112;1;1206;1010;385;118,060;0;GERB--0528_1206_1010;none;202303150000;202303181830;34;1
0090016800_28022023000013;0023235902;;0090016800;168G2510;969060603R;SLI---2112;1;1206;1010;485;51,800;0;GERB--0528_1206_1010;none;202303270000;202303282100;10;2
0090016800_28022023000014;0021865316;;0090016800;GR0510;240107247S;SLI---2112;1;1206;1010;485;62,621;0;GERB--0528_1206_1010;none;202304060000;202304071930;23;100
0090016800_28022023000015;0027376000;;0090016800;G606;572445291R;SLI---2112;1;1206;1010;385;78,600;0;GERB--0528_1206_1010;none;202304120000;202304181700;50;100
0090016800_28022023000016;0061187700;;0090016800;G0521;759425928R;CON-S-0130;1;780;570;478;328,000;47;GERB--3195_780_570;widthwise;202304060000;202304071915;6;4
0090016800_28022023000017;0028350801;;0090016800;GREAPS;745L63776R;SLI---0901;11;1600;1200;750;131,000;45;GERB--1613_1600_1200;none;202303290000;202303301900;2;100
0090016800_28022023000018;0023235902;;0090016800;G0526;681632953R;SLI---2112;1;1206;1010;485;57,240;0;GERB--0528_1206_1010;none;202303220000;202303231630;15;2
